Original Species	Category
Dendroctonus brevicomis	Insects (Beetles)
Alces alces	Mammals (Deer)
Dermacentor variabilis	Arachnids (Ticks)
Sus scrofa	Mammals (Pigs)
Canis lupus signatus	Mammals (Canines)
Bemisia tabaci	Insects (Whiteflies)
Echinothrips americanus	Insects (Thrips)
Struthio camelus	Birds
Oryctolagus cuniculus	Mammals (Rabbits)
Sturnus vulgaris	Birds
Turdus merula	Birds
Solanum lycopersicum	Plants
Agave fourcroydes	Plants
Malus domestica	Plants
Culex idottus	Insects (Mosquitoes)
Zea mays	Plants
Dioscorea bulbifera	Plants
Cyamopsis tetragonoloba	Plants
Arracacia xanthorrhiza	Plants
Actinidia chinensis	Plants
Golovinomyces cichoracearum	Fungi
Cucumis melo	Plants
Nicotiana benthamiana	Plants
Dypsis lutescens	Plants
Alternaria brassicicola	Fungi
Diospyros virginiana	Plants
Aedes vittatus	Insects (Mosquitoes)
Rubus	Plants
Citrus sinensis	Plants
Anopheles coustani	Insects (Mosquitoes)
Vaccinium corymbosum	Plants
Clitoria ternatea	Plants
Citrus volkameriana	Plants
Plumeria rubra	Plants
Oeciacus vicarius	Insects (Bed bugs)
Lactuca sativa	Plants
Buteo jamaicensis	Birds
Solanum melongena	Plants
Avena sativa	Plants
Triticum aestivum	Plants
Lentinula edodes	Fungi
Citrullus lanatus	Plants
Phlebotominae	Insects (Sand flies)
Stethorus sp.	Insects (Beetles)
Culex annulirostris	Insects (Mosquitoes)
Mansonia titillans	Insects (Mosquitoes)
Rodentia	Mammals (Rodents)
Cucurbitaceae	Plants
Haemaphysalis spinigera	Arachnids (Ticks)
Malus	Plants
Dermacentor occidentalis	Arachnids (Ticks)
Oryza sativa	Plants
Ixodes ricinus	Arachnids (Ticks)
Ixodes scapularis	Arachnids (Ticks)
Phlebotomus major	Insects (Sand flies)
Lepidoptera	Insects (Moths and Butterflies)
Diptera	Insects (Flies)
Choristoneura rosaceana	Insects (Moths)
Cydia pomonella	Insects (Moths)
Dermacentor nuttalli	Arachnids (Ticks)
Phlebotomus perniciosus	Insects (Sand flies)
Phlebotomus	Insects (Sand flies)
Tabanidae	Insects (Horse flies)
Culex quinquefasciatus	Insects (Mosquitoes)
Aulacorthum magnoliae	Insects (Aphids)
Acari	Arachnids (Mites)
Amblyomma americanum	Arachnids (Ticks)
Rhipicephalus decoloratus	Arachnids (Ticks)
Lutzomyia	Insects (Sand flies)
Myriapoda	Arthropods
Arthropoda	Arthropods
Araneae	Arachnids (Spiders)
Odonata	Insects (Dragonflies and Damselflies)
Ligia exotica	Crustaceans
Chironomus thummi	Insects (Midges)
Dermanyssus gallinae	Arachnids (Mites)
Zeugodacus cucurbitae	Insects (Fruit flies)
Bactrocera oleae	Insects (Fruit flies)
Apis mellifera	Insects (Bees)
Orthetrum chrysostigma	Insects (Dragonflies)
Argiope bruennichi	Arachnids (Spiders)
Frankliniella intonsa	Insects (Thrips)
Culex bitaeniorhynchus	Insects (Mosquitoes)
Vespula vulgaris	Insects (Wasps)
Anisopteromalus calandrae	Insects (Wasps)
Bactrocera tryoni	Insects (Fruit flies)
Acheta domesticus	Insects (Crickets)
Neohydatothrips variabilis	Insects (Thrips)
Fringilla montifringilla	Birds
Diospyros kaki	Plants
Procambarus clarkii	Crustaceans
Capsicum frutescens	Plants
Arabidopsis thaliana	Plants
Melipona quadrifasciata quadrifasciata	Insects (Bees)
Solenopsis invicta	Insects (Ants)
Drosophila kikkawai	Insects (Fruit flies)
Trifolium pratense	Plants
Linepithema humile	Insects (Ants)
Aphis fabae	Insects (Aphids)
Prunus persica	Plants
Lasius neglectus	Insects (Ants)
Myrmica scabrinodis	Insects (Ants)
Lasius niger	Insects (Ants)
Merostomata	Arthropods
Orthoptera	Insects (Grasshoppers and Crickets)
Diabrotica virgifera virgifera	Insects (Beetles)
Nylanderia fulva	Insects (Ants)
Cucurbita moschata	Plants
Phoca vitulina	Mammals (Seals)
Lemur catta	Mammals (Primates)
Rattus norvegicus	Mammals (Rodents)
Chaetoceros tenuissimus	Algae
Leonurus cardiaca	Plants
Anas platyrhynchos	Birds
Antheraea pernyi	Insects (Moths)
Mus musculus	Mammals (Rodents)
Nilaparvata lugens	Insects (Planthoppers)
Spodoptera exigua	Insects (Moths)
Brevicoryne brassicae	Insects (Aphids)
Homalodisca vitripennis	Insects (Leafhoppers)
Vitis	Plants
Penaeus vannamei	Crustaceans
Psorophora albigenu	Insects (Mosquitoes)
Armigeres subalbatus	Insects (Mosquitoes)
Sphaeridiotrema pseudoglobulus	Flatworms
Triaenophorus nodulosus	Flatworms
Psilotrema simillimum	Flatworms
Chrysura austriaca	Insects (Wasps)
Chrysura radians	Insects (Wasps)
Insecta	Insects
Culex perfuscus	Insects (Mosquitoes)
Coquillettidia maculipennis	Insects (Mosquitoes)
Percidae	Fish
Dryophytes cinereus	Amphibians
Phocoena phocoena	Mammals (Cetaceans)
Amblyomma ovale	Arachnids (Ticks)
Hyalomma asiaticum	Arachnids (Ticks)
Rhinella marina	Amphibians
Clerodendrum sp.	Plants
Chanodichthys erythropterus	Fish
Pachytriton brevipes	Amphibians
Pipistrellus abramus	Mammals (Bats)
Dipseliopoda	Insects (Flies)
Nematoda	Nematodes
Ascaris suum	Nematodes
Crustacea	Crustaceans
Caligus rogercresseyi	Crustaceans
Culicoides peregrinus	Insects (Midges)
Hyalomma anatolicum anatolicum	Arachnids (Ticks)
Zoarces viviparus	Fish
Rattus rattus	Mammals (Rodents)
Culex dunni	Insects (Mosquitoes)
Culex annulioris	Insects (Mosquitoes)
Culex sitiens	Insects (Mosquitoes)
Culicoides	Insects (Midges)
Microtus montanus	Mammals (Rodents)
Culicoides punctatus	Insects (Midges)
Culiseta melanura	Insects (Mosquitoes)
Ameiva ameiva	Reptiles
Culex tarsalis	Insects (Mosquitoes)
Riparia paludicola	Birds
Coquillettidia albicosta	Insects (Mosquitoes)
Culex portesi	Insects (Mosquitoes)
Culicinae	Insects (Mosquitoes)
Eretmapodites leucopous	Insects (Mosquitoes)
Ochlerotatus sollicitans	Insects (Mosquitoes)
Gerbilliscus kempi	Mammals (Rodents)
Musca domestica	Insects (Flies)
Chrysomya megacephala	Insects (Flies)
Hippoboscidae	Insects (Flies)
Rhipicephalus microplus	Arachnids (Ticks)
Haemaphysalis hystricis	Arachnids (Ticks)
Culicoides insignis	Insects (Midges)
Lepeophtheirus salmonis	Crustaceans
Culicoides austropalpalis	Insects (Midges)
Psychodidae	Insects (Flies)
Lagenorhynchus albirostris	Mammals (Cetaceans)
Sabethes intermedius	Insects (Mosquitoes)
Cryptoblepharus virgatus	Reptiles
Culicidae	Insects (Mosquitoes)
Ochlerotatus fulvus	Insects (Mosquitoes)
Spodoptera frugiperda	Insects (Moths)
Amblyomma americanum	Arachnids (Ticks)
Culicoides	Insects (Midges)
Mansonia uniformis	Insects (Mosquitoes)
Culex tritaeniorhynchus	Insects (Mosquitoes)
Culicoides brevitarsis	Insects (Midges)
Culex decens	Insects (Mosquitoes)
Drosophila melanogaster	Insects (Flies)
Drosophila obscura	Insects (Flies)
Esox lucius	Fish
Equus asinus x Equus caballus	Mammals (Horses)
Siniperca chuatsi	Fish
Oncorhynchus mykiss	Fish
Cyprinus carpio	Fish
Oncorhynchus tshawytscha	Fish
Panicum virgatum	Plants
Mansonia	Insects (Mosquitoes)
Medicago sativa	Plants
Prunus persica	Plants
Solanum tuberosum	Plants
Solanum phureja	Plants
Nemesia fruticans	Plants
Bombyx mori	Insects (Moths)
Acacia farnesiana	Plants
Pinus radiata	Plants
Conocybe sp.	Fungi
Fomes fomentarius	Fungi
Hirudo medicinalis	Annelids
Gastrodia elata	Plants
Armillaria tabescens	Fungi
Inocybe rimosa	Fungi
Macrocybe lobayensis	Fungi
Agaricus augustus	Fungi
Auricularia auricula-judae	Fungi
Termitomyces	Fungi
Phellinus igniarius	Fungi
Psathyrella aquatica	Fungi
Gyrodon lividus	Fungi
Ganoderma tsugae	Fungi
Suillus tomentosus	Fungi
Fomitopsis pinicola	Fungi
Calyptella	Fungi
Russula decolorans	Fungi
Amanita gemmata	Fungi
Hepatospora eriocheir	Microsporidia
Eriocheir sinensis	Crustaceans
Neotrygon kuhlii	Fish
Spheniscidae	Birds
Cygnus atratus	Birds
Tragelaphus angasii	Mammals (Antelopes)
Corvus splendens	Birds
Croton lechleri	Plants
Solanum nigrum	Plants
Paenibacillus	Bacteria
Pyrus communis	Plants
Bondarzewia berkeleyi	Fungi
Penicillium cairnsense	Fungi
Penicillium glabrum	Fungi
Penicillium adametzioides	Fungi
Alternaria alternata	Fungi
