contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
NODE_A3_length_64792_cov_76.984702_BlackFly12	64792	No	NA	84	23	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.02	
NODE_A1_length_62752_cov_2246.284308_BlackFly43	62752	No	NA	82	35	0	High-quality	High-quality	99.84	AAI-based (medium-confidence)	0.0	1.0	
NODE_A3_length_62729_cov_505.503879_BlackFly16	62729	No	NA	72	24	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A2_length_62521_cov_747.147636_BlackFly9	62521	No	NA	71	1	3	Low-quality	Genome-fragment	36.97	AAI-based (medium-confidence)	0.0	1.0	
NODE_A1_length_60093_cov_10932.194731_BlackFly30	60093	No	NA	76	39	1	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_B1_length_59272_cov_41.788361_BlackFly27	59272	No	NA	88	31	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
NODE_A2_length_56473_cov_237.943223_BlackFly36	56473	No	NA	86	37	0	Complete	High-quality	100.0	DTR (medium-confidence)	0.0	1.0	
NODE_A3_length_56227_cov_17.126251_BlackFly28	56227	No	NA	44	35	0	Medium-quality	Genome-fragment	74.05	AAI-based (high-confidence)	0.0	1.0	
NODE_A2_length_54256_cov_79.607911_BlackFly3	54256	No	NA	62	34	0	High-quality	High-quality	94.81	AAI-based (high-confidence)	0.0	1.0	
NODE_A3_length_53952_cov_119.832872_BlackFly3	53952	No	NA	82	57	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A1_length_53381_cov_13.647212_BlackFly48	53381	No	NA	86	61	0	Low-quality	Genome-fragment	31.54	AAI-based (high-confidence)	0.0	1.0	
NODE_A1_length_51364_cov_115.426697_BlackFly39	51364	No	NA	83	41	1	Medium-quality	Genome-fragment	87.08	HMM-based (lower-bound)	0.0	1.0	
NODE_A1_length_50135_cov_460.227376_BlackFly31	50135	No	NA	77	39	0	Complete	High-quality	100.0	DTR (medium-confidence)	0.0	1.0	
NODE_A1_length_50053_cov_162.623599_BlackFly14	50053	No	NA	76	40	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A2_length_49547_cov_28.925308_BlackFly48	49547	No	NA	73	41	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A1_length_49347_cov_9361.809316_BlackFly50	49347	No	NA	76	34	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A1_length_49125_cov_2951.479122_BlackFly42	49125	No	NA	78	47	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A4_length_49076_cov_408.167330_BlackFly28	49076	No	NA	80	50	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A4_length_48980_cov_32.422428_BlackFly16	48980	No	NA	66	33	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A2_length_48919_cov_57.332869_BlackFly10	48919	No	NA	79	48	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A1_length_48882_cov_60.588218_BlackFly53	48882	No	NA	69	14	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A2_length_48178_cov_1226.170080_BlackFly30	48178	No	NA	80	38	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A1_length_48162_cov_113.376313_BlackFly38	48162	No	NA	70	36	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A3_length_47653_cov_295.593387_BlackFly30	47653	No	NA	80	50	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A1_length_47617_cov_278.480059_BlackFly21	47617	No	NA	73	26	2	Medium-quality	Genome-fragment	79.39	AAI-based (medium-confidence)	0.0	1.0	low-confidence DTR
NODE_A15_length_46958_cov_24.110621_BlackFly19	46958	No	NA	82	45	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_B1_length_46920_cov_19.564268_BlackFly48	46920	No	NA	81	48	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A2_length_46867_cov_756.088957_BlackFly31	46867	No	NA	74	11	1	High-quality	High-quality	90.64	AAI-based (medium-confidence)	0.0	1.0	
NODE_A5_length_45667_cov_66.606931_BlackFly3	45667	No	NA	69	41	0	High-quality	High-quality	97.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A4_length_45591_cov_409.493518_BlackFly6	45591	No	NA	69	38	1	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A3_length_45309_cov_27.582132_BlackFly57	45309	No	NA	73	34	0	Medium-quality	Genome-fragment	76.27	HMM-based (lower-bound)	0.0	1.0	
NODE_A1_length_45264_cov_100.506296_BlackFly58	45264	No	NA	80	49	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A1_length_45106_cov_132.311088_BlackFly46	45106	No	NA	75	34	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A1_length_44850_cov_140.644540_BlackFly45	44850	No	NA	74	32	0	Complete	High-quality	100.0	DTR (medium-confidence)	0.0	1.0	
NODE_A1_length_44824_cov_79.651530_BlackFly24	44824	No	NA	72	42	1	Medium-quality	Genome-fragment	88.28	AAI-based (high-confidence)	0.0	1.0	
NODE_A2_length_44604_cov_15.008961_BlackFly43	44604	No	NA	73	41	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A17_length_44501_cov_534.169255_BlackFly19	44501	No	NA	53	36	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_B1_length_44234_cov_25.924406_BlackFly53	44234	No	NA	62	36	4	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A6_length_44204_cov_40.806445_BlackFly3	44204	No	NA	74	42	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A4_length_44027_cov_30.627691_BlackFly30	44027	No	NA	61	30	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_B4_length_43797_cov_17.196020_BlackFly30	43797	No	NA	71	36	0	High-quality	High-quality	97.55	AAI-based (high-confidence)	0.0	1.0	
NODE_B2_length_43488_cov_19.941121_BlackFly4	43488	No	NA	67	41	1	High-quality	High-quality	96.86	AAI-based (high-confidence)	0.0	1.0	
NODE_A2_length_43429_cov_1012.537945_BlackFly32	43429	No	NA	73	43	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A3_length_43351_cov_1367.442876_BlackFly23	43351	No	NA	66	36	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A1_length_43127_cov_149.744692_BlackFly52	43127	No	NA	46	31	2	Medium-quality	Genome-fragment	75.36	AAI-based (high-confidence)	0.0	1.0	
NODE_B2_length_42934_cov_282.662669_BlackFly27	42934	No	NA	67	42	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A4_length_42642_cov_42.875673_BlackFly48	42642	No	NA	58	40	0	High-quality	High-quality	98.35	AAI-based (high-confidence)	0.0	1.0	
NODE_A5_length_42600_cov_38.731910_BlackFly28	42600	No	NA	64	33	0	High-quality	High-quality	98.79	AAI-based (high-confidence)	0.0	1.0	
NODE_A4_length_42542_cov_133.350500_BlackFly23	42542	No	NA	64	41	0	Medium-quality	Genome-fragment	85.8	AAI-based (high-confidence)	0.0	1.0	
NODE_A3_length_42490_cov_75.470658_BlackFly27	42490	No	NA	70	31	0	Medium-quality	Genome-fragment	85.11	AAI-based (medium-confidence)	0.0	1.0	
NODE_A3_length_42322_cov_1840.807457_BlackFly15	42322	No	NA	63	43	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A6_length_42048_cov_526.288676_BlackFly28	42048	No	NA	63	40	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A3_length_42034_cov_334.195367_BlackFly29	42034	No	NA	56	37	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A4_length_41536_cov_800.778022_BlackFly10	41536	No	NA	67	33	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A4_length_41449_cov_1941.308324_BlackFly12	41449	No	NA	49	11	1	High-quality	High-quality	94.26	AAI-based (high-confidence)	0.0	1.0	
NODE_A2_length_41334_cov_22.362023_BlackFly14	41334	No	NA	60	27	0	Medium-quality	Genome-fragment	60.1	HMM-based (lower-bound)	0.0	1.01	
NODE_A6_length_41267_cov_81.489342_BlackFly23	41267	No	NA	76	40	0	High-quality	High-quality	98.72	AAI-based (high-confidence)	0.0	1.0	
NODE_A6_length_41076_cov_63.664138_BlackFly30	41076	No	NA	66	29	0	Complete	High-quality	100.0	DTR (medium-confidence)	0.0	1.0	
NODE_A1_length_41066_cov_42.948132_BlackFly59	41066	No	NA	52	38	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A2_length_40812_cov_563.332932_BlackFly53	40812	No	NA	65	41	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A21_length_40695_cov_61.432198_BlackFly19	40695	No	NA	60	42	0	High-quality	High-quality	96.42	AAI-based (high-confidence)	0.0	1.0	
NODE_A7_length_40653_cov_424.728288_BlackFly3	40653	No	NA	63	41	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A7_length_40444_cov_113.663983_BlackFly23	40444	No	NA	56	39	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A1_length_40427_cov_73.817323_BlackFly11	40427	No	NA	52	23	0	High-quality	High-quality	93.48	AAI-based (high-confidence)	0.0	1.0	
NODE_A4_length_40282_cov_838.904539_BlackFly29	40282	No	NA	60	22	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A4_length_40213_cov_313.906692_BlackFly32	40213	No	NA	55	34	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A7_length_40194_cov_15.979560_BlackFly28	40194	No	NA	69	45	1	Low-quality	Genome-fragment	23.81	AAI-based (high-confidence)	0.0	1.0	
NODE_A3_length_40192_cov_45.821488_BlackFly43	40192	No	NA	59	35	0	Complete	High-quality	100.0	DTR (medium-confidence)	0.0	1.0	
NODE_A7_length_40101_cov_138.443234_BlackFly30	40101	No	NA	57	43	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A5_length_39886_cov_65.599437_BlackFly12	39886	No	NA	54	23	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A22_length_39781_cov_706.218013_BlackFly19	39781	No	NA	62	38	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A4_length_39742_cov_73.699231_BlackFly27	39742	No	NA	54	31	1	High-quality	High-quality	99.39	AAI-based (high-confidence)	0.0	1.0	
NODE_A1_length_39723_cov_66.817056_BlackFly34	39723	No	NA	49	25	1	Medium-quality	Genome-fragment	57.03	AAI-based (high-confidence)	0.0	1.0	
NODE_A4_length_39646_cov_556.493568_BlackFly57	39646	No	NA	70	26	0	Medium-quality	Genome-fragment	64.46	HMM-based (lower-bound)	0.0	1.0	
NODE_B4_length_39564_cov_11.338010_BlackFly3	39564	No	NA	56	40	0	High-quality	High-quality	97.7	AAI-based (high-confidence)	0.0	1.0	
NODE_A2_length_39470_cov_2403.396644_BlackFly20	39470	No	NA	51	37	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A2_length_39468_cov_1511.034196_BlackFly21	39468	No	NA	44	38	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A5_length_39448_cov_27.953748_BlackFly6	39448	No	NA	56	15	0	High-quality	High-quality	94.65	AAI-based (medium-confidence)	0.0	1.0	
NODE_A2_length_39425_cov_757.523178_BlackFly4	39425	No	NA	45	22	0	Medium-quality	Genome-fragment	65.87	AAI-based (medium-confidence)	0.0	1.0	
NODE_A3_length_39392_cov_23.396922_BlackFly21	39392	No	NA	45	42	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.01	
NODE_A23_length_39309_cov_75.667236_BlackFly19	39309	No	NA	58	30	0	High-quality	High-quality	94.12	AAI-based (high-confidence)	0.0	1.0	
NODE_A2_length_39247_cov_103.982665_BlackFly52	39247	No	NA	43	25	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NODE_A24_length_39016_cov_50.322890_BlackFly19	39016	No	NA	54	29	0	Medium-quality	Genome-fragment	56.02	AAI-based (high-confidence)	0.0	1.0	
NODE_A3_length_38625_cov_28.496783_BlackFly39	38625	No	NA	52	19	0	Medium-quality	Genome-fragment	89.43	AAI-based (high-confidence)	0.0	1.0	
NODE_B2_length_38551_cov_56.090373_BlackFly52	38551	No	NA	62	16	0	Medium-quality	Genome-fragment	75.85	AAI-based (medium-confidence)	0.0	1.0	
NODE_A10_length_38452_cov_22.212456_BlackFly3	38452	No	NA	58	36	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A6_length_38378_cov_108.675387_BlackFly6	38378	No	NA	46	17	0	High-quality	High-quality	93.57	AAI-based (medium-confidence)	0.0	1.0	
NODE_A5_length_38280_cov_73.874120_BlackFly27	38280	No	NA	56	24	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A5_length_38093_cov_136.782381_BlackFly29	38093	No	NA	38	26	0	Low-quality	Genome-fragment	24.1	AAI-based (medium-confidence)	0.0	1.0	
NODE_A7_length_37809_cov_24.191588_BlackFly6	37809	No	NA	42	2	3	Low-quality	Genome-fragment	21.24	AAI-based (high-confidence)	0.0	1.0	
NODE_A8_length_37552_cov_111.767178_BlackFly30	37552	No	NA	53	20	0	Complete	High-quality	100.0	DTR (medium-confidence)	0.0	1.0	
NODE_A4_length_37307_cov_2048.608864_BlackFly43	37307	No	NA	59	26	0	Complete	High-quality	100.0	DTR (medium-confidence)	0.0	1.0	
NODE_A3_length_36696_cov_51.224364_BlackFly5	36696	No	NA	50	19	1	Medium-quality	Genome-fragment	85.61	AAI-based (medium-confidence)	0.0	1.0	
NODE_A4_length_36096_cov_53.341931_BlackFly4	36096	No	NA	53	18	0	Complete	High-quality	100.0	DTR (medium-confidence)	0.0	1.0	
NODE_A11_length_35987_cov_239.844779_BlackFly3	35987	No	NA	58	26	0	Medium-quality	Genome-fragment	87.48	AAI-based (medium-confidence)	0.0	1.0	
NODE_A5_length_35827_cov_140.169203_BlackFly48	35827	No	NA	47	26	0	High-quality	High-quality	94.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A8_length_33584_cov_56.615453_BlackFly28	33584	No	NA	43	28	0	High-quality	High-quality	95.46	AAI-based (high-confidence)	0.0	1.0	
NODE_A6_length_33581_cov_31.453946_BlackFly16	33581	No	NA	59	29	0	Medium-quality	Genome-fragment	79.83	AAI-based (high-confidence)	0.0	1.0	
NODE_A3_length_33401_cov_67.652683_BlackFly49	33401	No	NA	43	22	1	Medium-quality	Genome-fragment	77.82	AAI-based (medium-confidence)	0.0	1.0	
NODE_A5_length_33242_cov_28.172290_BlackFly57	33242	No	NA	41	23	0	Medium-quality	Genome-fragment	75.7	AAI-based (medium-confidence)	0.0	1.0	
NODE_A4_length_32740_cov_74.402504_BlackFly5	32740	No	NA	46	23	2	Medium-quality	Genome-fragment	75.73	AAI-based (high-confidence)	0.0	1.0	
NODE_A4_length_32660_cov_29.814658_BlackFly36	32660	No	NA	38	5	1	Low-quality	Genome-fragment	11.48	HMM-based (lower-bound)	0.0	1.02	
NODE_A8_length_32501_cov_45.987972_BlackFly23	32501	No	NA	53	34	1	Medium-quality	Genome-fragment	77.4	AAI-based (high-confidence)	0.0	1.0	
NODE_A6_length_32434_cov_72.782984_BlackFly12	32434	No	NA	56	22	0	Medium-quality	Genome-fragment	67.59	AAI-based (high-confidence)	0.0	1.0	
NODE_A12_length_32112_cov_80.972343_BlackFly3	32112	No	NA	50	33	0	Medium-quality	Genome-fragment	77.31	AAI-based (high-confidence)	0.0	1.0	
NODE_A4_length_31868_cov_26.181970_BlackFly31	31868	No	NA	44	26	0	Medium-quality	Genome-fragment	79.16	AAI-based (high-confidence)	0.0	1.0	
NODE_A9_length_31810_cov_44.729871_BlackFly28	31810	No	NA	45	28	0	Medium-quality	Genome-fragment	67.57	AAI-based (high-confidence)	0.0	1.0	
NODE_A3_length_30956_cov_43.082645_BlackFly44	30956	No	NA	45	5	0	Low-quality	Genome-fragment	36.81	HMM-based (lower-bound)	0.0	1.01	
NODE_A9_length_30468_cov_21.046691_BlackFly6	30468	No	NA	54	4	0	Low-quality	Genome-fragment	16.2	HMM-based (lower-bound)	0.0	1.0	
NODE_A8_length_30088_cov_56.077272_BlackFly16	30088	No	NA	35	24	0	Low-quality	Genome-fragment	31.84	AAI-based (medium-confidence)	0.0	1.0	
NODE_A13_length_29634_cov_30.383259_BlackFly3	29634	No	NA	39	26	0	High-quality	High-quality	99.77	AAI-based (high-confidence)	0.0	1.0	
NODE_A5_length_29598_cov_43.293012_BlackFly36	29598	No	NA	27	15	0	Low-quality	Genome-fragment	7.66	AAI-based (medium-confidence)	0.0	1.0	
NODE_A1_length_29594_cov_21.259613_BlackFly7	29594	No	NA	40	25	0	Medium-quality	Genome-fragment	71.28	AAI-based (high-confidence)	0.0	1.0	
NODE_A9_length_29241_cov_45.355610_BlackFly16	29241	No	NA	32	26	0	Medium-quality	Genome-fragment	58.0	AAI-based (medium-confidence)	0.0	1.0	
NODE_A10_length_28894_cov_15.835479_BlackFly16	28894	No	NA	42	31	0	Medium-quality	Genome-fragment	68.67	AAI-based (high-confidence)	0.0	1.0	
NODE_A6_length_28692_cov_38.722977_BlackFly36	28692	No	NA	39	11	0	Low-quality	Genome-fragment	5.91	AAI-based (medium-confidence)	0.0	1.0	
NODE_A10_length_28661_cov_46.362790_BlackFly28	28661	No	NA	34	18	0	High-quality	High-quality	96.46	AAI-based (high-confidence)	0.0	1.0	
NODE_A30_length_28090_cov_1178.686824_BlackFly19	28090	No	NA	39	16	0	Medium-quality	Genome-fragment	69.59	AAI-based (high-confidence)	0.0	1.0	
NODE_A9_length_27470_cov_699.223634_BlackFly30	27470	No	NA	37	24	0	Medium-quality	Genome-fragment	54.65	AAI-based (high-confidence)	0.0	1.0	
NODE_A10_length_27397_cov_46.071925_BlackFly30	27397	No	NA	49	21	0	Medium-quality	Genome-fragment	65.14	AAI-based (medium-confidence)	0.0	1.0	
NODE_A10_length_27322_cov_19.240411_BlackFly6	27322	No	NA	40	24	0	Medium-quality	Genome-fragment	54.06	AAI-based (medium-confidence)	0.0	1.01	
NODE_A1_length_27304_cov_161.454255_BlackFly_NC_Jara_1	27304	No	NA	36	26	0	Medium-quality	Genome-fragment	64.28	AAI-based (high-confidence)	0.0	1.0	
NODE_A14_length_27086_cov_17.351994_BlackFly3	27086	No	NA	40	20	1	Medium-quality	Genome-fragment	59.09	AAI-based (medium-confidence)	0.0	1.0	
NODE_A11_length_26927_cov_12.073780_BlackFly28	26927	No	NA	66	47	0	Low-quality	Genome-fragment	15.74	AAI-based (high-confidence)	0.0	1.0	
NODE_A1_length_26678_cov_24.740498_BlackFly33	26678	No	NA	22	21	0	Medium-quality	Genome-fragment	62.3	AAI-based (high-confidence)	0.0	1.0	
NODE_B3_length_26543_cov_628.995088_BlackFly28	26543	No	NA	45	18	0	Medium-quality	Genome-fragment	57.36	AAI-based (medium-confidence)	0.0	1.0	
NODE_C1_length_26394_cov_69.894175_BlackFly28	26394	No	NA	45	20	0	Medium-quality	Genome-fragment	57.08	AAI-based (medium-confidence)	0.0	1.0	
NODE_A5_length_25988_cov_17.479796_BlackFly43	25988	No	NA	39	18	3	Medium-quality	Genome-fragment	56.3	AAI-based (high-confidence)	0.0	1.0	
NODE_A11_length_25860_cov_57.800489_BlackFly16	25860	No	NA	37	28	0	Medium-quality	Genome-fragment	79.38	AAI-based (high-confidence)	0.0	1.0	
NODE_A8_length_25333_cov_107.182135_BlackFly10	25333	No	NA	28	4	1	Low-quality	Genome-fragment	14.19	AAI-based (medium-confidence)	0.0	1.0	
NODE_A6_length_24780_cov_21.069708_BlackFly27	24780	No	NA	27	18	0	Medium-quality	Genome-fragment	56.31	AAI-based (high-confidence)	0.0	1.0	
NODE_A6_length_24737_cov_15.998378_BlackFly43	24737	No	NA	35	25	0	Medium-quality	Genome-fragment	54.83	AAI-based (medium-confidence)	0.0	1.0	
NODE_A2_length_24520_cov_12.460214_BlackFly42	24520	No	NA	41	14	0	Low-quality	Genome-fragment	39.64	HMM-based (lower-bound)	0.0	1.0	
NODE_B7_length_24423_cov_103.239752_BlackFly29	24423	No	NA	41	24	0	Medium-quality	Genome-fragment	71.91	AAI-based (medium-confidence)	0.0	1.0	
NODE_A11_length_24417_cov_30.542605_BlackFly6	24417	No	NA	23	8	1	Low-quality	Genome-fragment	13.75	AAI-based (medium-confidence)	0.0	1.0	
NODE_A5_length_24367_cov_70.123508_BlackFly5	24367	No	NA	37	16	0	Medium-quality	Genome-fragment	68.59	AAI-based (medium-confidence)	0.0	1.0	
NODE_A7_length_24206_cov_14.899250_BlackFly27	24206	No	NA	26	15	0	Low-quality	Genome-fragment	34.75	AAI-based (high-confidence)	0.0	1.0	
NODE_A6_length_23461_cov_12.066285_BlackFly48	23461	No	NA	64	37	0	Low-quality	Genome-fragment	13.34	AAI-based (high-confidence)	0.0	1.0	
NODE_A6_length_23287_cov_40.851788_BlackFly5	23287	No	NA	25	16	0	Medium-quality	Genome-fragment	65.47	AAI-based (medium-confidence)	0.0	1.0	
NODE_A13_length_23279_cov_83.502672_BlackFly16	23279	No	NA	33	24	0	Low-quality	Genome-fragment	49.18	AAI-based (medium-confidence)	0.0	1.0	
NODE_A7_length_23088_cov_125.071488_BlackFly12	23088	No	NA	23	18	0	Low-quality	Genome-fragment	49.66	AAI-based (high-confidence)	0.0	1.0	
NODE_A7_length_23060_cov_15.912152_BlackFly43	23060	No	NA	43	28	0	Low-quality	Genome-fragment	47.94	AAI-based (high-confidence)	0.0	1.0	
NODE_A14_length_23042_cov_44.620684_BlackFly16	23042	No	NA	23	16	0	Medium-quality	Genome-fragment	53.97	AAI-based (medium-confidence)	0.0	1.0	
NODE_A7_length_22928_cov_39.709291_BlackFly36	22928	No	NA	32	5	3	Low-quality	Genome-fragment	4.72	AAI-based (medium-confidence)	0.0	1.01	
NODE_A6_length_22742_cov_11.704964_BlackFly15	22742	No	NA	37	14	1	Low-quality	Genome-fragment	36.14	AAI-based (medium-confidence)	0.0	1.0	
NODE_A13_length_22694_cov_23.923951_BlackFly28	22694	No	NA	26	19	0	Low-quality	Genome-fragment	42.05	HMM-based (lower-bound)	0.0	1.0	
NODE_A14_length_22335_cov_31.588193_BlackFly28	22335	No	NA	40	3	0	Low-quality	Genome-fragment	11.82	HMM-based (lower-bound)	0.0	1.0	
NODE_A4_length_22144_cov_150.482077_BlackFly53	22144	No	NA	32	4	0	Medium-quality	Genome-fragment	51.1	AAI-based (medium-confidence)	0.0	1.0	
NODE_A7_length_22092_cov_11.176380_BlackFly48	22092	No	NA	45	28	0	Low-quality	Genome-fragment	13.06	AAI-based (high-confidence)	0.0	1.0	
NODE_A8_length_21917_cov_10776.551190_BlackFly12	21917	No	NA	34	11	0	Medium-quality	Genome-fragment	50.57	AAI-based (medium-confidence)	0.0	1.0	
NODE_A8_length_21824_cov_12.318021_BlackFly27	21824	No	NA	24	20	0	Medium-quality	Genome-fragment	58.06	AAI-based (medium-confidence)	0.0	1.0	
NODE_A9_length_21652_cov_116.497103_BlackFly27	21652	No	NA	30	18	0	Medium-quality	Genome-fragment	71.73	AAI-based (high-confidence)	0.0	1.0	
NODE_C2_length_21482_cov_122.660033_BlackFly12	21482	No	NA	34	9	0	Low-quality	Genome-fragment	49.21	AAI-based (medium-confidence)	0.0	1.0	
NODE_A12_length_21361_cov_26.735341_BlackFly6	21361	No	NA	22	13	0	Medium-quality	Genome-fragment	56.69	AAI-based (medium-confidence)	0.0	1.01	
NODE_B4_length_21357_cov_13.108506_BlackFly19	21357	No	NA	35	15	0	Low-quality	Genome-fragment	48.59	AAI-based (medium-confidence)	0.0	1.0	
NODE_A15_length_21299_cov_13.595938_BlackFly16	21299	No	NA	20	16	0	Low-quality	Genome-fragment	37.87	AAI-based (high-confidence)	0.0	1.0	
NODE_A7_length_21236_cov_20.595680_BlackFly15	21236	No	NA	28	22	0	Low-quality	Genome-fragment	47.78	AAI-based (high-confidence)	0.0	1.0	
NODE_A8_length_21236_cov_31.059974_BlackFly36	21236	No	NA	31	20	0	Low-quality	Genome-fragment	45.98	AAI-based (medium-confidence)	0.0	1.0	
