queryID	taxID	perc_identity
NODE_A10_length_11629_cov_7482.078168_BlackFly52	2689573	96.1
NODE_A10_length_12646_cov_10.202880_BlackFly9	52021	36.8
NODE_A10_length_16703_cov_33.000060_BlackFly36	2024264	46.2
NODE_A10_length_17603_cov_13.349195_BlackFly29	2099652	49.5
NODE_A10_length_17871_cov_30.572215_BlackFly23	1	70
NODE_A10_length_18326_cov_49.358157_BlackFly57	1	95.6
NODE_A10_length_21203_cov_11.409306_BlackFly27	1590	99.8
NODE_A10_length_27322_cov_19.240411_BlackFly6	231053	62.4
NODE_A10_length_27397_cov_46.071925_BlackFly30	53335	96.05
NODE_A10_length_28661_cov_46.362790_BlackFly28	543	90.45
NODE_A10_length_28894_cov_15.835479_BlackFly16	562	70.3
NODE_A10_length_3515_cov_6.891798_BlackFly47	2832643	85
NODE_A10_length_3616_cov_14.756146_BlackFly33	2739847	38.6
NODE_A10_length_3806_cov_8.442478_BlackFly11	38018	96.6
NODE_A10_length_38452_cov_22.212456_BlackFly3	53335	98.6166666666667
NODE_A10_length_4012_cov_277.458958_BlackFly46	1923734	41.8
NODE_A10_length_4540_cov_12.946000_BlackFly18	523909	46.9
NODE_A10_length_6807_cov_6.825260_BlackFly44	2183907	97.9
NODE_A10_length_7196_cov_6.635342_BlackFly32	246432	97.45
NODE_A10_length_8297_cov_6.935766_BlackFly5	135620	72.65
NODE_A10_length_8834_cov_7.560580_BlackFly21	1284208	49.1
NODE_A10_length_9182_cov_9.397254_BlackFly59	1620	83.1
NODE_A10_length_9205_cov_570.817594_BlackFly39	1955145	73.2
NODE_A1100_length_1050_cov_3.021583_BlackFly36	28882	61
NODE_A1101_length_1049_cov_82.479424_BlackFly36	2497569	47
NODE_A1101_length_820_cov_3.055182_BlackFly_NC_1_Jill	1465757	100
NODE_A1103_length_625_cov_2.908759_BlackFly6	2767842	98.025
NODE_A1105_length_1497_cov_8.176761_BlackFly34	472	79.6
NODE_A11066_length_650_cov_2.581152_BlackFly25	286	99.75
NODE_A11074_length_715_cov_3.308777_BlackFly3	546367	93.8
NODE_A110_length_1007_cov_32.769892_BlackFly_NC_Jara_2	2746254	27.6
NODE_A110_length_1677_cov_4.751250_BlackFly38	10239	41.4
NODE_A110_length_1732_cov_19.791541_BlackFly35	2762594	82.8
NODE_A110_length_1763_cov_30.983393_BlackFly20	2691998	94.6
NODE_A110_length_1971_cov_4.822070_BlackFly5	998086	43.9
NODE_A110_length_2112_cov_5.173956_BlackFly21	231053	96.4
NODE_A110_length_2150_cov_63.313073_BlackFly42	2970722	51.9
NODE_A110_length_2218_cov_2.141056_BlackFly59	2815754	40
NODE_A110_length_2695_cov_5.888464_BlackFly27	1260358	81.7
NODE_A110_length_2799_cov_49.091477_BlackFly36	2587541	37.4
NODE_A110_length_2953_cov_4.902990_BlackFly23	1229662	40.5
NODE_A110_length_2995_cov_11.172036_BlackFly12	1224	74.22
NODE_A110_length_3309_cov_439.921101_BlackFly3	1923734	33.1
NODE_A110_length_3705_cov_45.418137_BlackFly16	469	78.95
NODE_A1112_length_884_cov_2.574969_BlackFly57	3020468	74.4
NODE_A11145_length_767_cov_4.304348_BlackFly27	2559587	51.5
NODE_A1115_length_1299_cov_7.776596_BlackFly23	1224	45.1
NODE_A1117_length_629_cov_4.451087_BlackFly_NC_Jara_2	1978231	48.3
NODE_A1119_length_1135_cov_2.758979_BlackFly43	2689127	81.2
NODE_A111_length_1161_cov_11.678044_BlackFly_NC_Jara_1	2822868	49
NODE_A111_length_1675_cov_7.866708_BlackFly38	2880275	89.2
NODE_A111_length_2112_cov_2.316953_BlackFly21	2788436	47.6
NODE_A111_length_2119_cov_3.785504_BlackFly48	1859161	72.4
NODE_A111_length_2593_cov_6.230922_BlackFly32	2759	33.8583333333333
NODE_A111_length_2679_cov_46.622598_BlackFly27	574774	92.1
NODE_A111_length_2934_cov_4.796640_BlackFly23	559173	91.6
NODE_A111_length_3234_cov_7.322141_BlackFly31	125216	41.9
NODE_A111_length_3305_cov_8.697026_BlackFly3	633	72.6
NODE_A1121_length_1334_cov_4.739857_BlackFly3	346	81.5
NODE_A1121_length_717_cov_2.234375_BlackFly9	53335	97.5
NODE_A1126_length_794_cov_3.535565_BlackFly49	2	38.75
NODE_A1127_length_1332_cov_10.346614_BlackFly3	2731652	56.55
NODE_A112_length_1678_cov_6.906309_BlackFly4	2003658	98.3
NODE_A112_length_1928_cov_4.614263_BlackFly5	2970918	88.2
NODE_A112_length_2087_cov_3.353731_BlackFly30	2788787	32.8666666666667
NODE_A112_length_2097_cov_2.381188_BlackFly6	2030828	40.1
NODE_A112_length_2109_cov_6.901083_BlackFly21	2546034	63.2
NODE_A112_length_2202_cov_3.503059_BlackFly59	2739222	98.5
NODE_A112_length_2571_cov_5.759423_BlackFly52	38018	49.1
NODE_A112_length_2874_cov_5.131927_BlackFly23	549	77.65
NODE_A112_length_3233_cov_6.346958_BlackFly31	53335	99.7666666666667
NODE_A112_length_3302_cov_12.031628_BlackFly3	2743185	86.4
NODE_A112_length_3675_cov_12.661201_BlackFly16	2767842	99.65
NODE_A112_length_3848_cov_7313.026783_BlackFly28	2832643	67.5
NODE_A11316_length_772_cov_2.348201_BlackFly39	2100421	72
NODE_A1131_length_820_cov_3.711978_BlackFly16	2832643	76
NODE_A1132_length_1410_cov_2.378095_BlackFly14	91914	95.2
NODE_A1135_length_1329_cov_3.801917_BlackFly3	1511853	37.45
NODE_A1138_length_1407_cov_50.451880_BlackFly14	2597175	48.2
NODE_A11396_length_532_cov_1.580220_BlackFly38	629	76.5428571428572
NODE_A113_length_1499_cov_24.277075_BlackFly46	2737680	38.1
NODE_A113_length_1731_cov_4.235792_BlackFly53	2731619	57.2
NODE_A113_length_1810_cov_3.217542_BlackFly44	2501057	34
NODE_A113_length_2065_cov_3.818913_BlackFly30	33074	47.1
NODE_A113_length_2574_cov_18.422507_BlackFly32	433	60.9
NODE_A113_length_2616_cov_61.738874_BlackFly29	2713171	98.9
NODE_A113_length_2744_cov_8.750281_BlackFly36	2737071	90.4
NODE_A113_length_2870_cov_5.901182_BlackFly15	91914	57.5
NODE_A113_length_2974_cov_12.284432_BlackFly12	2605270	96.3
NODE_A113_length_3230_cov_6.944180_BlackFly31	2812733	44.4
NODE_A113_length_3240_cov_10.256402_BlackFly43	1386	97.4333333333333
NODE_A113_length_3291_cov_19.195084_BlackFly19	2499073	86
NODE_A113_length_3606_cov_26.679513_BlackFly16	1683695	90.5
NODE_A113_length_4959_cov_16.709750_BlackFly57	91914	94.3
NODE_A1141_length_740_cov_1.310709_BlackFly21	2648722	95.3
NODE_A11420_length_667_cov_9.816949_BlackFly19	91914	78.3
NODE_A11438_length_708_cov_1.656101_BlackFly3	444053	72.9
NODE_A1143_length_793_cov_2.779330_BlackFly22	2497443	80.9
NODE_A11442_length_708_cov_1.270998_BlackFly3	117574	66.9
NODE_A1145_length_955_cov_4.018223_BlackFly31	2806428	73.2
NODE_A11462_length_516_cov_1.248292_BlackFly57	1631	97.8
NODE_A11467_length_707_cov_3.022222_BlackFly3	1922999	70.4
NODE_A1147_length_559_cov_3.217842_BlackFly30	91347	99.2833333333333
NODE_A114_length_1456_cov_10.065990_BlackFly22	2585030	75.3
NODE_A114_length_1645_cov_4.599490_BlackFly38	2692084	54.5
NODE_A114_length_1721_cov_7.571776_BlackFly35	2733122	43.45
NODE_A114_length_1723_cov_3.324423_BlackFly53	433	47.025
NODE_A114_length_1809_cov_199.748268_BlackFly44	1256786	97.4
NODE_A114_length_2060_cov_11.357539_BlackFly30	1949080	52
NODE_A114_length_2540_cov_8.211937_BlackFly52	286	86.175
NODE_A114_length_2737_cov_31.330075_BlackFly36	2951202	37
NODE_A114_length_3228_cov_15.369407_BlackFly31	38018	46.4
NODE_A114_length_3235_cov_9.569981_BlackFly43	1481186	39.9
NODE_A1150_length_1045_cov_3.590909_BlackFly25	286	99.8
NODE_A1150_length_1486_cov_6.096522_BlackFly34	1970646	97.4
NODE_A1151_length_708_cov_7.331220_BlackFly_NC_Ludovica_2	1	77.9571428571429
NODE_A1151_length_796_cov_1.165508_BlackFly28	597456	62.6
NODE_A1152_length_816_cov_1.175913_BlackFly16	1236	59.8
NODE_A11538_length_926_cov_1.936396_BlackFly34	2	38.5
NODE_A11550_length_766_cov_7.079826_BlackFly39	2802958	65.2
NODE_A1155_length_738_cov_2.379728_BlackFly21	119060	49.55
NODE_A1155_length_877_cov_1.967500_BlackFly57	433	56.35
NODE_A1156_length_679_cov_2.269103_BlackFly53	2052891	56.5
NODE_A1156_length_950_cov_3.252005_BlackFly31	53335	99.0666666666667
NODE_A1157_length_1286_cov_3.213400_BlackFly27	1982367	40.8
NODE_A1158_length_1316_cov_5.773204_BlackFly3	2315392	68
NODE_A1159_length_743_cov_2.767267_BlackFly46	2768165	99.1
NODE_A115_length_1356_cov_5.275215_BlackFly58	2590841	87.8
NODE_A115_length_1386_cov_5.107716_BlackFly7	464095	28.72
NODE_A115_length_1707_cov_97.667485_BlackFly45	2501035	75.1
NODE_A115_length_1717_cov_44.078659_BlackFly35	2501038	47
NODE_A115_length_1720_cov_5.446135_BlackFly53	2742553	60.7
NODE_A115_length_1893_cov_4.870595_BlackFly5	1843371	79.1
NODE_A115_length_2602_cov_4.606733_BlackFly29	2008894	90.1
NODE_A115_length_4848_cov_8.978830_BlackFly57	1631	99.5
NODE_A11604_length_514_cov_2.274600_BlackFly57	2767842	98.3791666666667
NODE_A1164_length_875_cov_4.068922_BlackFly57	2695350	83.1
NODE_A11657_length_765_cov_1.607558_BlackFly39	2585031	60
NODE_A1165_length_641_cov_2.824468_BlackFly12	469	80.9
NODE_A1168_length_736_cov_2.279211_BlackFly21	434	71.525
NODE_A116_length_1447_cov_4.698540_BlackFly22	1923734	47.4
NODE_A116_length_1713_cov_6.366137_BlackFly35	2838331	65.1
NODE_A116_length_1884_cov_7.705036_BlackFly5	2006668	49.1
NODE_A116_length_2052_cov_14.988354_BlackFly42	2507518	33.1
NODE_A116_length_2063_cov_4.822256_BlackFly6	87	50.5
NODE_A116_length_2581_cov_6.157348_BlackFly27	27320	45.9666666666667
NODE_A116_length_2589_cov_13.292994_BlackFly29	472693	88.2
NODE_A116_length_2718_cov_179.440742_BlackFly36	1859161	64.8
NODE_A116_length_2864_cov_12.564765_BlackFly23	91347	80.84
NODE_A116_length_2951_cov_5.139875_BlackFly12	2972347	78.2
NODE_A116_length_3197_cov_38.325641_BlackFly31	441	55.1333333333333
NODE_A116_length_3220_cov_7.456888_BlackFly43	231052	76.3
NODE_A116_length_3229_cov_88.263642_BlackFly3	2744808	88.8
NODE_A1171_length_787_cov_2.338028_BlackFly28	2529836	46
NODE_A11720_length_757_cov_6.870588_BlackFly27	2202160	98.4
NODE_A1172_length_811_cov_3.158038_BlackFly16	469	99.58
NODE_A1173_length_810_cov_16.574352_BlackFly16	135621	69.268
NODE_A11761_length_921_cov_5.452607_BlackFly34	306	70.1
NODE_A1176_length_784_cov_3.489392_BlackFly28	469	83.6285714285714
NODE_A1179_length_595_cov_3.749035_BlackFly35	2886238	52.3
NODE_A117_length_1613_cov_3.901042_BlackFly4	231053	66.3
NODE_A117_length_1867_cov_4.383799_BlackFly5	2788787	29.45
NODE_A117_length_2021_cov_7.259774_BlackFly30	998086	27.5
NODE_A117_length_2416_cov_6.511757_BlackFly52	231053	96.9
NODE_A117_length_2575_cov_6.043635_BlackFly27	1	36.675
NODE_A117_length_2948_cov_5.877743_BlackFly12	2605270	99.4
NODE_A117_length_3189_cov_7.764139_BlackFly31	2	95.9375
NODE_A117_length_3228_cov_111.872739_BlackFly3	2742544	53.1
NODE_A117_length_3501_cov_192.502629_BlackFly16	1923734	34.7
NODE_A1180_length_764_cov_2.614265_BlackFly42	10239	66.425
NODE_A1182_length_634_cov_159.707361_BlackFly12	2832643	88
NODE_A1182_length_871_cov_3.525189_BlackFly57	33995	73.05
NODE_A11837_length_528_cov_1.274945_BlackFly29	1631	98
NODE_A1187_length_1278_cov_17.624480_BlackFly27	2485127	96
NODE_A1189_length_870_cov_1.914250_BlackFly57	2767842	98.87
NODE_A118_length_1343_cov_8.256714_BlackFly58	3020468	78.6
NODE_A118_length_1468_cov_5.554996_BlackFly46	2972347	82.5
NODE_A118_length_1710_cov_2.617269_BlackFly53	2744808	80.1
NODE_A118_length_1988_cov_11.090529_BlackFly48	2794507	37
NODE_A118_length_2006_cov_3.419907_BlackFly30	1923734	33.8
NODE_A118_length_2550_cov_3.147594_BlackFly29	53335	95.8
NODE_A118_length_2563_cov_6.423170_BlackFly27	91943	77.9
NODE_A118_length_2649_cov_24.537325_BlackFly36	433	57.8166666666667
NODE_A118_length_3188_cov_8.678881_BlackFly31	553	99.45
NODE_A118_length_3222_cov_47.184738_BlackFly3	2728102	57.8
NODE_A1192_length_1116_cov_3.553417_BlackFly43	2737062	81.7
NODE_A1192_length_696_cov_4.978998_BlackFly52	2501035	74.2
NODE_A1192_length_769_cov_1.767341_BlackFly59	1620	65.1
NODE_A11941_length_510_cov_2.057737_BlackFly57	28216	53.8333333333333
NODE_A1194_length_617_cov_1.951852_BlackFly15	1590	99.82
NODE_A1195_length_776_cov_2.569385_BlackFly28	1236	75.4
NODE_A1196_length_601_cov_1.740458_BlackFly6	2732688	97.55
NODE_A119_length_1569_cov_16.777480_BlackFly20	2832643	98.5
NODE_A119_length_1709_cov_2.246324_BlackFly53	2802230	35
NODE_A119_length_2029_cov_6.043545_BlackFly21	2732913	41.0666666666667
NODE_A119_length_2140_cov_10.614639_BlackFly59	3020468	68.2
NODE_A119_length_2648_cov_28.038895_BlackFly36	1871070	82.9
NODE_A119_length_3151_cov_47.845804_BlackFly19	2742544	53.1
NODE_A119_length_3168_cov_8.031705_BlackFly43	2899278	52
NODE_A119_length_3189_cov_17.634640_BlackFly3	2743185	91.95
NODE_A11_length_10849_cov_995.947085_BlackFly52	2689573	48.7
NODE_A11_length_10883_cov_10.882843_BlackFly9	59814	88.9
