	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_A10174_length_734_cov_1.642314_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Gilsonvirus	unclassified
NODE_A1017_length_656_cov_1.435233_BlackFly5	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Noxifervirus	Noxifervirus noxifer
NODE_A10189_length_955_cov_1.378132_BlackFly34	Viruses	unclassified	Naldaviricetes	Lefavirales	Nudiviridae	Alphanudivirus	unclassified
NODE_A1018_length_647_cov_1.142105_BlackFly48	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Polycipiviridae	unclassified	Polycipiviridae sp.
NODE_A10191_length_531_cov_2.590308_BlackFly57	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A1019_length_733_cov_3.684451_BlackFly52	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated mycovirus 1
NODE_A101_length_1035_cov_2.489562_BlackFly13	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Fusarium equiseti partitivirus 1
NODE_A101_length_1479_cov_4.440799_BlackFly58	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	unclassified	Drosophila suzukii associated hytrosavirus 1
NODE_A101_length_1583_cov_90.725764_BlackFly25	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	unclassified
NODE_A101_length_1870_cov_6.628555_BlackFly20	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A101_length_2221_cov_12.763060_BlackFly6	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Plasmopara viticola lesion associated polymycovirus 3
NODE_A101_length_2223_cov_4.257223_BlackFly21	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A101_length_2759_cov_25.901566_BlackFly32	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A101_length_3416_cov_20.197065_BlackFly31	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 2
NODE_A101_length_5118_cov_21.874231_BlackFly49	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Pseudomonas phage MiCath
NODE_A1021_length_646_cov_2.456942_BlackFly6	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Botryotinia fuckeliana totivirus 1
NODE_A1023_length_646_cov_1.762742_BlackFly6	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A1023_length_846_cov_4.775033_BlackFly16	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Caulimoviridae	Badnavirus	Banana streak UM virus
NODE_A1024_length_654_cov_2.081456_BlackFly5	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A1024_length_998_cov_2.454940_BlackFly29	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Penicillium miczynskii RNA virus 1
NODE_A10261_length_686_cov_1.326765_BlackFly19	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A1028_length_1513_cov_6.073120_BlackFly34	Viruses	Uroviricota	Caudoviricetes	unclassified	Zobellviridae	unclassified	Podoviridae sp. ctbj_2
NODE_A1029_length_1068_cov_10.266398_BlackFly36	Viruses	Negarnaviricota	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated negative-stranded RNA virus 4
NODE_A102_length_1513_cov_37.960306_BlackFly22	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Fusarium mangiferae partitivirus 2
NODE_A102_length_1554_cov_9.908599_BlackFly46	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Erysiphe necator associated gammapartitivirus 2
NODE_A102_length_1896_cov_5.534909_BlackFly44	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Sanya totivirus 11
NODE_A102_length_2219_cov_8.893557_BlackFly21	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A102_length_2949_cov_37.451950_BlackFly36	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Betachrysovirus	Betachrysovirus neofusicocci
NODE_A1030_length_687_cov_2.681967_BlackFly_NC_3_Jill	Viruses	Uroviricota	Caudoviricetes	unclassified	Zobellviridae	unclassified	Podoviridae sp. ctbj_2
NODE_A1031_length_1068_cov_2.885974_BlackFly36	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	unclassified	Flumine dicistrovirus 8
NODE_A1031_length_1367_cov_3.125581_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Enterobacter phage EC151
NODE_A1032_length_845_cov_2.305990_BlackFly16	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A1033_length_602_cov_2.958095_BlackFly44	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated mycovirus 1
NODE_A1035_length_714_cov_0.984301_BlackFly12	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Sanya totivirus 11
NODE_A1036_length_731_cov_1.100917_BlackFly52	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A1037_length_1066_cov_2.314459_BlackFly36	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated mycovirus 1
NODE_A1037_length_713_cov_1.858491_BlackFly12	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A10392_length_729_cov_1.590491_BlackFly3	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A10393_length_729_cov_1.550613_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	uncultured Caudovirales phage
NODE_A103_length_1461_cov_2.596821_BlackFly58	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A103_length_1478_cov_4.604568_BlackFly18	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A103_length_1511_cov_3.586471_BlackFly10	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A103_length_1513_cov_17.657382_BlackFly22	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	unclassified
NODE_A103_length_1769_cov_5.813239_BlackFly53	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	unclassified	Drosophila suzukii associated hytrosavirus 1
NODE_A103_length_1842_cov_5.818697_BlackFly20	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A103_length_2185_cov_22.293643_BlackFly21	Viruses	unclassified	unclassified	unclassified	Polymycoviridae	Polymycovirus	Setosphaeria turcica polymycovirus 1
NODE_A103_length_2729_cov_9.496606_BlackFly32	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A103_length_3052_cov_31.805714_BlackFly15	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	unclassified	Erysiphe necator associated chryso-like virus 2
NODE_A103_length_3096_cov_10.725075_BlackFly23	Viruses	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Hanrivervirus	unclassified
NODE_A10400_length_551_cov_2.932489_BlackFly29	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Sanya totivirus 11
NODE_A10412_length_728_cov_2.937020_BlackFly3	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	unclassified
NODE_A10426_length_594_cov_1.806576_BlackFly43	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Hypoviridae	Alphahypovirus	Alphahypovirus japonicum
NODE_A1042_length_578_cov_2.349301_BlackFly30	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Erysiphe necator associated gammapartitivirus 2
NODE_A1042_length_639_cov_4.432384_BlackFly6	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Tonghua Totiv tick virus 1
NODE_A1042_length_842_cov_2.067974_BlackFly16	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Petsuvirus	Pseudomonas phage OBP
NODE_A1042_length_851_cov_1.301034_BlackFly28	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A10436_length_551_cov_1.430380_BlackFly29	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Vidquintavirus	Vidquintavirus Vid5
NODE_A10447_length_528_cov_1.658537_BlackFly57	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Magnaporthe oryzae polymycovirus 2
NODE_A1044_length_664_cov_3.209540_BlackFly15	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemykroznavirus	Gemykroznavirus hydro1
NODE_A10475_length_612_cov_1.949533_BlackFly36	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A104_length_1768_cov_7.092844_BlackFly53	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A104_length_1774_cov_7.255745_BlackFly35	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	unclassified
NODE_A104_length_2199_cov_4.387842_BlackFly6	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Coetzeevirus	Coetzeevirus JL1
NODE_A104_length_2292_cov_5.077201_BlackFly59	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Poaceae Liege alphachrysovirus 3
NODE_A104_length_2751_cov_10.632386_BlackFly52	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A104_length_3042_cov_15.416189_BlackFly15	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A104_length_3334_cov_388.051581_BlackFly31	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A10515_length_527_cov_2.080000_BlackFly57	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A1052_length_600_cov_1.082218_BlackFly44	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	unclassified
NODE_A10533_length_542_cov_2.077419_BlackFly38	Viruses	unclassified	unclassified	unclassified	Anelloviridae	unclassified	Torque teno virus
NODE_A1054_length_700_cov_10.770465_BlackFly12	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Discoviridae	Orthodiscovirus	Orthodiscovirus missouriense
NODE_A10553_length_778_cov_2.318117_BlackFly27	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A10571_length_725_cov_1.743827_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Brevundimonas phage vB_BpoS-MaInes
NODE_A1057_length_1356_cov_5.446443_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	uncultured Caudovirales phage
NODE_A1058_length_659_cov_2.939863_BlackFly15	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Hypoviridae	Hypovirus	Setosphaeria turcica hypovirus 1
NODE_A105_length_1497_cov_5.743662_BlackFly10	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Magnaporthe oryzae polymycovirus 2
NODE_A105_length_1688_cov_5.751086_BlackFly38	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	unclassified	unclassified	Plasmopara viticola lesion associated mycobunyavirales-like virus 1
NODE_A105_length_1872_cov_74.588858_BlackFly44	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wilkie partiti-like virus 2
NODE_A105_length_2114_cov_9.617084_BlackFly39	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Magnaporthe oryzae polymycovirus 2
NODE_A105_length_2138_cov_8.091218_BlackFly30	Viruses	unclassified	unclassified	unclassified	Polymycoviridae	Polymycovirus	Setosphaeria turcica polymycovirus 2
NODE_A105_length_2175_cov_164.829361_BlackFly21	Viruses	unclassified	unclassified	unclassified	Polymycoviridae	Polymycovirus	Setosphaeria turcica polymycovirus 1
NODE_A105_length_2223_cov_4.219012_BlackFly42	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	unclassified
NODE_A105_length_3329_cov_8.716482_BlackFly31	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Sanya totivirus 11
NODE_A105_length_3593_cov_28.345279_BlackFly19	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A10603_length_724_cov_2.649150_BlackFly3	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A1062_length_895_cov_5.556235_BlackFly57	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Plasmopara viticola lesion associated Partitivirus 3
NODE_A1063_length_696_cov_84.069467_BlackFly12	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A1065_length_834_cov_3.018494_BlackFly32	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Discoviridae	Orthodiscovirus	Orthodiscovirus iberiae
NODE_A1066_length_575_cov_2.636546_BlackFly30	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A1066_length_696_cov_1.806139_BlackFly12	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A10670_length_547_cov_2.708511_BlackFly29	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Hypoviridae	Alphahypovirus	Alphahypovirus alternariae
NODE_A1067_length_828_cov_3.033289_BlackFly58	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A1069_length_837_cov_2.578947_BlackFly28	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Pseudomonas phage 201phi2-1
NODE_A106_length_1489_cov_17.085694_BlackFly10	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Fusarium graminearum dsRNA mycovirus 5
NODE_A106_length_1858_cov_5.586188_BlackFly44	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A106_length_3020_cov_12.227659_BlackFly12	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A106_length_3061_cov_4.387399_BlackFly23	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A106_length_3365_cov_37.178528_BlackFly3	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A106_length_3514_cov_5.022694_BlackFly43	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Pakpunavirus	unclassified
NODE_A106_length_3758_cov_48.275469_BlackFly16	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Grapevine associated chrysovirus-3
NODE_A10700_length_525_cov_1.129464_BlackFly57	Viruses	Cressdnaviricota	unclassified	unclassified	unclassified	unclassified	Cressdnaviricota sp.
NODE_A1071_length_1312_cov_8.054251_BlackFly23	Viruses	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Eclunavirus	Eclunavirus EcL1
NODE_A1071_length_574_cov_2.907445_BlackFly30	Viruses	Uroviricota	Caudoviricetes	unclassified	Straboviridae	Roskildevirus	Roskildevirus cronus
NODE_A1072_length_574_cov_2.746479_BlackFly30	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Plasmopara viticola lesion associated polymycovirus 3
NODE_A1072_length_988_cov_3.343578_BlackFly31	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated mycovirus 1
NODE_A1073_length_631_cov_1.577617_BlackFly6	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A1073_length_694_cov_1.421394_BlackFly12	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A1077_length_833_cov_5.781746_BlackFly16	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A10789_length_941_cov_2.528935_BlackFly34	Viruses	Uroviricota	Caudoviricetes	unclassified	Straboviridae	unclassified	Acinetobacter phage Ac42
NODE_A1078_length_986_cov_3.806381_BlackFly31	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A10794_length_607_cov_1.154717_BlackFly36	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	unclassified	Koper picorna-like virus 1
NODE_A107_length_1758_cov_82.723974_BlackFly53	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Grapevine partitivirus
NODE_A107_length_1784_cov_21.210310_BlackFly20	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A107_length_2456_cov_135.892392_BlackFly34	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	unclassified
NODE_A107_length_2848_cov_12.202454_BlackFly36	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	unclassified	Leveillula taurica associated picorna-like virus 1
NODE_A107_length_3340_cov_13.715906_BlackFly3	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated ssRNA virus 9
NODE_A107_length_3758_cov_26.945939_BlackFly16	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	unclassified	unclassified
NODE_A10800_length_654_cov_2.960139_BlackFly25	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Sanya totivirus 11
NODE_A10813_length_720_cov_3.216174_BlackFly3	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	unclassified	unclassified	unclassified
NODE_A1081_length_800_cov_13.607192_BlackFly59	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	unclassified	Drosophila suzukii associated hytrosavirus 1
NODE_A108_length_1753_cov_39.389021_BlackFly35	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Grapevine partitivirus
NODE_A108_length_2453_cov_4.063131_BlackFly34	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A108_length_3742_cov_24.795907_BlackFly16	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Grapevine associated chrysovirus-3
NODE_A1091_length_571_cov_1.554656_BlackFly30	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Trinavirus	Rhodococcus phage NiceHouse
NODE_A1093_length_750_cov_1.200594_BlackFly21	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A10947_length_690_cov_3.476346_BlackFly45	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Metarhizium brunneum bipartite mycovirus 1
NODE_A1094_length_1341_cov_3.582278_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Petsuvirus	Serratia phage vB_SmaM-Sureiya
NODE_A10957_length_604_cov_1.878558_BlackFly36	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	unclassified	Sabethes flavivirus
NODE_A1095_length_570_cov_2.501014_BlackFly30	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A1096_length_687_cov_2.640984_BlackFly53	Viruses	Uroviricota	Caudoviricetes	unclassified	Autographiviridae	Limelightvirus	Limelightvirus limelight
NODE_A10976_length_536_cov_1.557734_BlackFly58	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A1097_length_687_cov_2.318033_BlackFly53	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Beauveria bassiana chrysovirus 2
NODE_A1097_length_795_cov_2.164345_BlackFly59	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A1097_length_827_cov_2.866667_BlackFly16	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Hubei odonate virus 4
NODE_A10995_length_779_cov_1.784900_BlackFly39	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	unclassified	unclassified	Atrato Picorna-like virus
NODE_A109_length_1411_cov_3.554723_BlackFly58	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	unclassified	unclassified
NODE_A109_length_2434_cov_8.712770_BlackFly34	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Hungariovirus	Hungariovirus C1302
NODE_A10_length_11629_cov_7482.078168_BlackFly52	Viruses	unclassified	unclassified	unclassified	unclassified	Botybirnavirus	Plasmopara viticola lesion associated botybirna 1
NODE_A10_length_16703_cov_33.000060_BlackFly36	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Polybotosvirus	Polybotosvirus Atuph07
NODE_A10_length_17603_cov_13.349195_BlackFly29	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Vidquintavirus	Vidquintavirus Vid5
NODE_A10_length_3515_cov_6.891798_BlackFly47	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A10_length_3616_cov_14.756146_BlackFly33	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	unclassified	unclassified	Cotoneaster microphyllus picorna-like virus
NODE_A10_length_3806_cov_8.442478_BlackFly11	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A10_length_4012_cov_277.458958_BlackFly46	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A10_length_4540_cov_12.946000_BlackFly18	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	Muscavirus	Musca hytrosavirus
NODE_A10_length_8834_cov_7.560580_BlackFly21	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Hypoviridae	Alphahypovirus	Alphahypovirus fusarii
NODE_A10_length_9205_cov_570.817594_BlackFly39	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	unclassified	Iflaviridae sp.
NODE_A1100_length_1050_cov_3.021583_BlackFly36	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A1101_length_1049_cov_82.479424_BlackFly36	Viruses	Negarnaviricota	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A1101_length_646_cov_2.346221_BlackFly15	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Grapevine associated chrysovirus-1
NODE_A1102_length_827_cov_3.517333_BlackFly32	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A1102_length_973_cov_8.783482_BlackFly31	Viruses	unclassified	unclassified	unclassified	Polymycoviridae	Polymycovirus	Setosphaeria turcica polymycovirus 1
NODE_A1103_length_646_cov_1.639719_BlackFly15	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
