	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_A101_length_3416_cov_20.197065_BlackFly31	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 2
NODE_A101_length_5118_cov_21.874231_BlackFly49	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Pseudomonas phage MiCath
NODE_A1028_length_1513_cov_6.073120_BlackFly34	Viruses	Uroviricota	Caudoviricetes	unclassified	Zobellviridae	unclassified	Podoviridae sp. ctbj_2
NODE_A1029_length_1068_cov_10.266398_BlackFly36	Viruses	Negarnaviricota	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated negative-stranded RNA virus 4
NODE_A102_length_1513_cov_37.960306_BlackFly22	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Fusarium mangiferae partitivirus 2
NODE_A102_length_1554_cov_9.908599_BlackFly46	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Erysiphe necator associated gammapartitivirus 2
NODE_A102_length_1896_cov_5.534909_BlackFly44	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Sanya totivirus 11
NODE_A102_length_2219_cov_8.893557_BlackFly21	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A102_length_2949_cov_37.451950_BlackFly36	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Betachrysovirus	Betachrysovirus neofusicocci
NODE_A1031_length_1068_cov_2.885974_BlackFly36	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	unclassified	Flumine dicistrovirus 8
NODE_A1031_length_1367_cov_3.125581_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Enterobacter phage EC151
NODE_A1037_length_1066_cov_2.314459_BlackFly36	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated mycovirus 1
NODE_A103_length_1461_cov_2.596821_BlackFly58	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A103_length_1478_cov_4.604568_BlackFly18	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A103_length_1511_cov_3.586471_BlackFly10	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A103_length_1513_cov_17.657382_BlackFly22	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	unclassified
NODE_A103_length_1769_cov_5.813239_BlackFly53	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	unclassified	Drosophila suzukii associated hytrosavirus 1
NODE_A103_length_1842_cov_5.818697_BlackFly20	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A103_length_2185_cov_22.293643_BlackFly21	Viruses	unclassified	unclassified	unclassified	Polymycoviridae	Polymycovirus	Setosphaeria turcica polymycovirus 1
NODE_A103_length_2729_cov_9.496606_BlackFly32	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A103_length_3052_cov_31.805714_BlackFly15	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	unclassified	Erysiphe necator associated chryso-like virus 2
NODE_A103_length_3096_cov_10.725075_BlackFly23	Viruses	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Hanrivervirus	unclassified
NODE_A104_length_1768_cov_7.092844_BlackFly53	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A104_length_1774_cov_7.255745_BlackFly35	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	unclassified
NODE_A104_length_2199_cov_4.387842_BlackFly6	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Coetzeevirus	Coetzeevirus JL1
NODE_A104_length_2292_cov_5.077201_BlackFly59	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Poaceae Liege alphachrysovirus 3
NODE_A104_length_2751_cov_10.632386_BlackFly52	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A104_length_3042_cov_15.416189_BlackFly15	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A104_length_3334_cov_388.051581_BlackFly31	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A1057_length_1356_cov_5.446443_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	uncultured Caudovirales phage
NODE_A105_length_1497_cov_5.743662_BlackFly10	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Magnaporthe oryzae polymycovirus 2
NODE_A105_length_1688_cov_5.751086_BlackFly38	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	unclassified	unclassified	Plasmopara viticola lesion associated mycobunyavirales-like virus 1
NODE_A105_length_1872_cov_74.588858_BlackFly44	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wilkie partiti-like virus 2
NODE_A105_length_2114_cov_9.617084_BlackFly39	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Magnaporthe oryzae polymycovirus 2
NODE_A105_length_2138_cov_8.091218_BlackFly30	Viruses	unclassified	unclassified	unclassified	Polymycoviridae	Polymycovirus	Setosphaeria turcica polymycovirus 2
NODE_A105_length_2175_cov_164.829361_BlackFly21	Viruses	unclassified	unclassified	unclassified	Polymycoviridae	Polymycovirus	Setosphaeria turcica polymycovirus 1
NODE_A105_length_2223_cov_4.219012_BlackFly42	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	unclassified
NODE_A105_length_3329_cov_8.716482_BlackFly31	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Sanya totivirus 11
NODE_A105_length_3593_cov_28.345279_BlackFly19	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A106_length_1489_cov_17.085694_BlackFly10	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Fusarium graminearum dsRNA mycovirus 5
NODE_A106_length_1858_cov_5.586188_BlackFly44	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A106_length_3020_cov_12.227659_BlackFly12	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A106_length_3061_cov_4.387399_BlackFly23	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A106_length_3365_cov_37.178528_BlackFly3	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A106_length_3514_cov_5.022694_BlackFly43	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Pakpunavirus	unclassified
NODE_A106_length_3758_cov_48.275469_BlackFly16	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Grapevine associated chrysovirus-3
NODE_A1071_length_1312_cov_8.054251_BlackFly23	Viruses	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Eclunavirus	Eclunavirus EcL1
NODE_A107_length_1758_cov_82.723974_BlackFly53	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Grapevine partitivirus
NODE_A107_length_1784_cov_21.210310_BlackFly20	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A107_length_2456_cov_135.892392_BlackFly34	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	unclassified
NODE_A107_length_2848_cov_12.202454_BlackFly36	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	unclassified	Leveillula taurica associated picorna-like virus 1
NODE_A107_length_3340_cov_13.715906_BlackFly3	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated ssRNA virus 9
NODE_A107_length_3758_cov_26.945939_BlackFly16	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	unclassified	unclassified
NODE_A108_length_1753_cov_39.389021_BlackFly35	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Grapevine partitivirus
NODE_A108_length_2453_cov_4.063131_BlackFly34	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A108_length_3742_cov_24.795907_BlackFly16	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Grapevine associated chrysovirus-3
NODE_A1094_length_1341_cov_3.582278_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Petsuvirus	Serratia phage vB_SmaM-Sureiya
NODE_A109_length_1411_cov_3.554723_BlackFly58	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	unclassified	unclassified
NODE_A109_length_2434_cov_8.712770_BlackFly34	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Hungariovirus	Hungariovirus C1302
NODE_A10_length_11629_cov_7482.078168_BlackFly52	Viruses	unclassified	unclassified	unclassified	unclassified	Botybirnavirus	Plasmopara viticola lesion associated botybirna 1
NODE_A10_length_16703_cov_33.000060_BlackFly36	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Polybotosvirus	Polybotosvirus Atuph07
NODE_A10_length_17603_cov_13.349195_BlackFly29	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Vidquintavirus	Vidquintavirus Vid5
NODE_A10_length_3515_cov_6.891798_BlackFly47	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A10_length_3616_cov_14.756146_BlackFly33	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	unclassified	unclassified	Cotoneaster microphyllus picorna-like virus
NODE_A10_length_3806_cov_8.442478_BlackFly11	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A10_length_4012_cov_277.458958_BlackFly46	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A10_length_4540_cov_12.946000_BlackFly18	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	Muscavirus	Musca hytrosavirus
NODE_A10_length_8834_cov_7.560580_BlackFly21	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Hypoviridae	Alphahypovirus	Alphahypovirus fusarii
NODE_A10_length_9205_cov_570.817594_BlackFly39	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	unclassified	Iflaviridae sp.
NODE_A1100_length_1050_cov_3.021583_BlackFly36	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A1101_length_1049_cov_82.479424_BlackFly36	Viruses	Negarnaviricota	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A110_length_1007_cov_32.769892_BlackFly_NC_Jara_2	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	unclassified	Hymenopteran phenui-related virus OKIAV296
NODE_A110_length_1677_cov_4.751250_BlackFly38	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A110_length_1732_cov_19.791541_BlackFly35	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Corynespora cassiicola bipartite mycovirus 1
NODE_A110_length_1763_cov_30.983393_BlackFly20	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Plasmopara viticola lesion associated Partitivirus 1
NODE_A110_length_1971_cov_4.822070_BlackFly5	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Pseudomonas phage PhiPA3
NODE_A110_length_2150_cov_63.313073_BlackFly42	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Betapartitivirus	Kalajoki betapartitivirus
NODE_A110_length_2218_cov_2.141056_BlackFly59	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Yersinia phage YerA41
NODE_A110_length_2799_cov_49.091477_BlackFly36	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Betachrysovirus	Betachrysovirus neofusicocci
NODE_A110_length_3309_cov_439.921101_BlackFly3	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A1119_length_1135_cov_2.758979_BlackFly43	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Discoviridae	Orthodiscovirus	Orthodiscovirus iberiae
NODE_A111_length_1161_cov_11.678044_BlackFly_NC_Jara_1	Viruses	unclassified	unclassified	unclassified	unclassified	Botybirnavirus	Sclerotinia sclerotiorum botybirnavirus 2-WX
NODE_A111_length_1675_cov_7.866708_BlackFly38	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Fusarium mangiferae partitivirus 2
NODE_A111_length_2112_cov_2.316953_BlackFly21	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Petsuvirus	unclassified
NODE_A111_length_2119_cov_3.785504_BlackFly48	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	Sclerotinia nivalis victorivirus 1
NODE_A1127_length_1332_cov_10.346614_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	Autographiviridae	unclassified	unclassified
NODE_A112_length_2087_cov_3.353731_BlackFly30	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A112_length_2109_cov_6.901083_BlackFly21	Viruses	unclassified	unclassified	unclassified	Polymycoviridae	Polymycovirus	Fusarium redolens polymycovirus 1
NODE_A112_length_2202_cov_3.503059_BlackFly59	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Cripavirus	Bactrocera dorsalis cripavirus
NODE_A112_length_2571_cov_5.759423_BlackFly52	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A112_length_3302_cov_12.031628_BlackFly3	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated ssRNA virus 9
NODE_A112_length_3848_cov_7313.026783_BlackFly28	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A1135_length_1329_cov_3.801917_BlackFly3	Viruses	unclassified	Naldaviricetes	Lefavirales	Nudiviridae	Alphanudivirus	unclassified
NODE_A1138_length_1407_cov_50.451880_BlackFly14	Viruses	Kitrinoviricota	Alsuviricetes	Tymovirales	Gammaflexiviridae	Gammaflexivirus	Gammaflexivirus PaGFV-1
NODE_A113_length_1499_cov_24.277075_BlackFly46	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Discoviridae	Orthodiscovirus	Orthodiscovirus hispaniae
NODE_A113_length_1731_cov_4.235792_BlackFly53	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A113_length_1810_cov_3.217542_BlackFly44	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Hortaea werneckii totivirus 1
NODE_A113_length_2744_cov_8.750281_BlackFly36	Viruses	Negarnaviricota	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated negative-stranded RNA virus 4
NODE_A113_length_3291_cov_19.195084_BlackFly19	Viruses	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Sauletekiovirus	Sauletekiovirus AAS23
NODE_A114_length_1456_cov_10.065990_BlackFly22	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A114_length_1645_cov_4.599490_BlackFly38	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	unclassified	Plasmopara viticola lesion associated dicistro-like virus 1
NODE_A114_length_1721_cov_7.571776_BlackFly35	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Petsuvirus	unclassified
NODE_A114_length_1809_cov_199.748268_BlackFly44	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Grapevine partitivirus
NODE_A114_length_2737_cov_31.330075_BlackFly36	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Synechococcus phage BUCT-ZZ01
NODE_A114_length_3228_cov_15.369407_BlackFly31	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A114_length_3235_cov_9.569981_BlackFly43	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Saclayvirus	Acinetobacter phage vB_AbaM_Acibel004
NODE_A1157_length_1286_cov_3.213400_BlackFly27	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Pepyhexavirus	unclassified
NODE_A1158_length_1316_cov_5.773204_BlackFly3	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Curvulaviridae	Orthocurvulavirus	Trichoderma harzianum orthocurvulavirus 1
NODE_A115_length_1356_cov_5.275215_BlackFly58	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Aspergillus flavus partitivirus 1
NODE_A115_length_1386_cov_5.107716_BlackFly7	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	unclassified	unclassified	unclassified
NODE_A115_length_1707_cov_97.667485_BlackFly45	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Colletotrichum eremochloae partitivirus 1
NODE_A115_length_1717_cov_44.078659_BlackFly35	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Gaeumannomyces tritici partitivirus 1
NODE_A115_length_1720_cov_5.446135_BlackFly53	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated mycovirus 1
NODE_A116_length_1447_cov_4.698540_BlackFly22	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A116_length_1713_cov_6.366137_BlackFly35	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Magnaporthe oryzae polymycovirus 2
NODE_A116_length_1884_cov_7.705036_BlackFly5	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Pseudomonas phage Phabio
NODE_A116_length_2052_cov_14.988354_BlackFly42	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Combu double-strand RNA mycovirus
NODE_A116_length_2718_cov_179.440742_BlackFly36	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	Sclerotinia nivalis victorivirus 1
NODE_A116_length_2951_cov_5.139875_BlackFly12	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Tonghua Totiv tick virus 1
NODE_A116_length_3229_cov_88.263642_BlackFly3	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	unclassified	Erysiphe necator associated chryso-like virus 2
NODE_A117_length_1867_cov_4.383799_BlackFly5	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A117_length_2021_cov_7.259774_BlackFly30	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Pseudomonas phage PhiPA3
NODE_A117_length_3228_cov_111.872739_BlackFly3	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A117_length_3501_cov_192.502629_BlackFly16	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A118_length_1343_cov_8.256714_BlackFly58	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	unclassified	Drosophila suzukii associated hytrosavirus 1
NODE_A118_length_1468_cov_5.554996_BlackFly46	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Tonghua Totiv tick virus 1
NODE_A118_length_1710_cov_2.617269_BlackFly53	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	unclassified	Erysiphe necator associated chryso-like virus 2
NODE_A118_length_1988_cov_11.090529_BlackFly48	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified	Fringilla montifringilla parvoviridae sp.
NODE_A118_length_2006_cov_3.419907_BlackFly30	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A1192_length_1116_cov_3.553417_BlackFly43	Viruses	Negarnaviricota	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated negative-stranded RNA virus 18
NODE_A119_length_1569_cov_16.777480_BlackFly20	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A119_length_1709_cov_2.246324_BlackFly53	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	unclassified	Soybean thrips dicistrovirus 2
NODE_A119_length_2029_cov_6.043545_BlackFly21	Viruses	Uroviricota	Caudoviricetes	unclassified	Autographiviridae	Cronosvirus	unclassified
NODE_A119_length_2140_cov_10.614639_BlackFly59	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	unclassified	Drosophila suzukii associated hytrosavirus 1
NODE_A119_length_3151_cov_47.845804_BlackFly19	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A119_length_3168_cov_8.031705_BlackFly43	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Acinetobacter phage MD-2021a
NODE_A119_length_3189_cov_17.634640_BlackFly3	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated ssRNA virus 9
NODE_A11_length_10849_cov_995.947085_BlackFly52	Viruses	unclassified	unclassified	unclassified	unclassified	Botybirnavirus	Plasmopara viticola lesion associated botybirna 1
NODE_A11_length_16088_cov_35.326401_BlackFly36	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A11_length_24417_cov_30.542605_BlackFly6	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Yersinia phage YerA41
NODE_A11_length_26927_cov_12.073780_BlackFly28	Viruses	Uroviricota	Caudoviricetes	unclassified	Straboviridae	Roskildevirus	Roskildevirus cronus
NODE_A11_length_3744_cov_66.137442_BlackFly11	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Hubei odonate virus 14
NODE_A11_length_4079_cov_1220.221889_BlackFly7	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 2
NODE_A11_length_4120_cov_7.586693_BlackFly18	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	unclassified	unclassified
NODE_A11_length_4167_cov_12.770416_BlackFly58	Viruses	Negarnaviricota	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated negative-stranded RNA virus 21
NODE_A11_length_4377_cov_24.917674_BlackFly13	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Scheffersomyces segobiensis virus L
NODE_A11_length_6127_cov_633.704298_BlackFly53	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A11_length_6444_cov_19.752003_BlackFly35	Viruses	Negarnaviricota	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A11_length_7098_cov_52.156103_BlackFly32	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Cladosporium cladosporioides negative-stranded RNA virus 1
NODE_A11_length_9789_cov_221.877471_BlackFly20	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	unclassified	Dicistroviridae sp.
NODE_A1204_length_1027_cov_105.941053_BlackFly36	Viruses	Negarnaviricota	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A120_length_1751_cov_62.507168_BlackFly44	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Gammapartitivirus sp.
NODE_A120_length_3493_cov_4.934719_BlackFly16	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	unclassified	unclassified	Atrato Picorna-like virus
NODE_A120_length_4802_cov_5.457566_BlackFly49	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Nipunavirus	unclassified
NODE_A121_length_1705_cov_3.441032_BlackFly53	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	unclassified	unclassified
