seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
NODE_A1_length_18441_cov_19.368112_BlackFly13	18441	No terminal repeats	NA	17	11	0.9997	0.0003	7	24.1785	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A29_length_7394_cov_8.022824_BlackFly29	7394	No terminal repeats	NA	8	11	0.9997	0.0003	3	7.4717	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A13_length_12646_cov_9.253481_BlackFly29	12646	No terminal repeats	NA	26	11	0.9997	0.0003	4	29.3465	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A2_length_141305_cov_2551.038923_BlackFly5	141305	DTR	NA	184	11	0.9997	0.0003	11	32.6751	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A45_length_2395_cov_8.584556_BlackFly38	2395	No terminal repeats	NA	4	11	0.9997	0.0003	2	6.2820	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A7_length_9962_cov_118.302984_BlackFly53	9962	No terminal repeats	NA	9	11	0.9997	0.0003	3	13.0914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A597_length_1070_cov_11.777442_BlackFly57	1070	No terminal repeats	NA	3	11	0.9997	0.0003	2	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A2_length_11861_cov_97.785217_BlackFly_NC_Jara_1	11861	No terminal repeats	NA	21	11	0.9997	0.0003	4	23.1982	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A255_length_2165_cov_14.863506_BlackFly3	2165	No terminal repeats	NA	4	11	0.9997	0.0003	2	6.6619	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A2337_length_1305_cov_2.889251_BlackFly34	1305	No terminal repeats	NA	4	11	0.9997	0.0003	1	4.5852	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A13_length_23279_cov_83.502672_BlackFly16	23279	No terminal repeats	NA	33	11	0.9997	0.0003	5	36.2110	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A147_length_3189_cov_32.744216_BlackFly16	3189	No terminal repeats	NA	6	11	0.9997	0.0003	4	9.0342	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A36_length_5219_cov_6.729288_BlackFly52	5219	No terminal repeats	NA	6	11	0.9997	0.0003	3	7.1429	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A7_length_37809_cov_24.191588_BlackFly6	37809	No terminal repeats	NA	42	11	0.9997	0.0003	4	14.5568	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A2_length_62521_cov_747.147636_BlackFly9	62521	No terminal repeats	NA	71	11	0.9997	0.0003	3	18.7319	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A5_length_38280_cov_73.874120_BlackFly27	38280	No terminal repeats	NA	56	11	0.9997	0.0003	10	47.9036	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A9_length_3330_cov_12.108515_BlackFly41	3330	No terminal repeats	NA	4	11	0.9997	0.0003	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A5_length_18557_cov_18.904167_BlackFly31	18557	No terminal repeats	NA	22	11	0.9997	0.0003	8	32.6492	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A83_length_2400_cov_5.247955_BlackFly21	2400	No terminal repeats	NA	4	11	0.9997	0.0003	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
NODE_B2_length_48533_cov_37.418565_BlackFly3	44939	Provirus	3479-48417	67	11	0.9997	0.0003	12	81.1787	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A32_length_6639_cov_154.045870_BlackFly29	6639	No terminal repeats	NA	10	11	0.9997	0.0003	4	12.2313	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A125_length_2424_cov_6.199403_BlackFly32	2424	No terminal repeats	NA	3	11	0.9997	0.0003	2	4.6248	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A44_length_5225_cov_11.072261_BlackFly15	5225	No terminal repeats	NA	7	11	0.9997	0.0003	5	10.0926	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A7_length_23088_cov_125.071488_BlackFly12	23088	No terminal repeats	NA	23	11	0.9997	0.0003	11	27.6357	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A10_length_28894_cov_15.835479_BlackFly16	28894	No terminal repeats	NA	42	11	0.9997	0.0003	10	53.9300	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A1_length_178860_cov_752.098662_BlackFly44	178860	DTR	NA	298	11	0.9997	0.0003	61	312.8445	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae
NODE_A6_length_16454_cov_239.439091_BlackFly52	16454	No terminal repeats	NA	20	11	0.9997	0.0003	11	30.3351	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A22_length_4350_cov_78.049614_BlackFly53	4350	No terminal repeats	NA	2	11	0.9997	0.0003	2	3.4366	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;Totiviridae
NODE_A26_length_7826_cov_149.849658_BlackFly29	7826	No terminal repeats	NA	22	11	0.9997	0.0003	0	10.2787	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A70_length_4698_cov_16.560052_BlackFly16	4698	No terminal repeats	NA	11	11	0.9997	0.0003	0	7.6548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A15_length_11423_cov_9.620395_BlackFly29	11423	No terminal repeats	NA	15	11	0.9997	0.0003	0	11.2926	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A1_length_147944_cov_50.530186_BlackFly28	147944	No terminal repeats	NA	274	11	0.9997	0.0003	13	207.8363	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A15_length_6187_cov_11.038298_BlackFly32	6187	No terminal repeats	NA	10	11	0.9997	0.0003	7	14.6543	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A14_length_13045_cov_15.379318_BlackFly30	13045	No terminal repeats	NA	21	11	0.9997	0.0003	9	27.3750	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A47_length_13909_cov_9.641628_BlackFly19	13909	No terminal repeats	NA	13	11	0.9997	0.0003	6	17.0715	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A7_length_3595_cov_15.140989_BlackFly41	3595	No terminal repeats	NA	6	11	0.9997	0.0003	1	6.8718	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_C3_length_16254_cov_124.177721_BlackFly12	16254	No terminal repeats	NA	25	11	0.9997	0.0003	7	28.2465	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A69_length_2760_cov_5.341409_BlackFly6	2760	No terminal repeats	NA	6	11	0.9997	0.0003	0	6.1962	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A2_length_10715_cov_20.665351_BlackFly7	10715	No terminal repeats	NA	13	11	0.9997	0.0003	9	18.2359	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A15_length_20251_cov_42.450233_BlackFly28	20251	No terminal repeats	NA	23	11	0.9997	0.0003	14	31.6707	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A13_length_15859_cov_45.730579_BlackFly57	15859	No terminal repeats	NA	24	11	0.9997	0.0003	9	31.0103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NODE_A53_length_3254_cov_3.098835_BlackFly5	3254	No terminal repeats	NA	5	11	0.9997	0.0003	0	4.9678	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
