Accession,Organism_Name,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
QRW42569,Astopletus virus,,MW434229,SRR11035297,"Batson,J., Dudas,G., Haas-Stapleton,E., Kistler,A.L., Li,L.M., Logan,P., Ratnasiri,K., Retallack,H.",2021-02-24,CMS001_027_ALCO,Astopletus virus,,,RNA,793,GenBank,,,1,polymerase PB1,"USA: Alameda County, California",USA,CA,Culex tarsalis,,2017-09-12,SAMN14051467,PRJNA605178,MAG: polymerase PB1 [Astopletus virus]
QRW42655,Usinis virus,,MW434314,SRR11035224,"Batson,J., Dudas,G., Haas-Stapleton,E., Kistler,A.L., Li,L.M., Logan,P., Ratnasiri,K., Retallack,H.",2021-02-24,CMS002_026e_WVAL,Usinis virus,,,RNA,787,GenBank,,,1,polymerase PB1,"USA: West Valley, California",USA,CA,Aedes albopictus,,2017-08-29,SAMN14051533,PRJNA605178,MAG: polymerase PB1 [Usinis virus]
QRD99912,Aedes detritus orthomyxo-like virus,,MW520417,SRA1184983,"Konstantinidis,K., Dovrolis,N., Kouvela,A., Kassela,K., Rosa Freitas,M.G., Nearchou,A., de Courcy Williams,M., Veletza,S., Mavromara,P., Karakasiliotis,I.",2021-02-08,OA3,Aedes detritus orthomyxo-like virus,,Orthomyxoviridae,ssRNA(-),760,GenBank,,,,PB1 polymerase,Greece:Thrace,Greece,,Ochlerotatus detritus,,2019,SAMN17373999,PRJNA681030,MAG: PB1 polymerase [Aedes detritus orthomyxo-like virus]
QRD99916,Culex modestus orthomyxo-like virus,,MW520421,SRA1184983,"Konstantinidis,K., Dovrolis,N., Kouvela,A., Kassela,K., Rosa Freitas,M.G., Nearchou,A., de Courcy Williams,M., Veletza,S., Mavromara,P., Karakasiliotis,I.",2021-02-08,OB3,Culex modestus orthomyxo-like virus,,Orthomyxoviridae,ssRNA(-),770,GenBank,,,,PB1 polymerase,Greece:Thrace,Greece,,Culex modestus,,2019,SAMN17374005,PRJNA681030,MAG: PB1 polymerase [Culex modestus orthomyxo-like virus]
QQN90103,Soybean thrips thogotovirus 1,,MT195540,,"Thekke-Veetil,T., Lagos-Kutz,D., McCoppin,N.K., Hartman,G.L., Ju,H.K., Lim,H.S., Domier,L.L., Lagos-Kurtz,D., Lim,H.-S.",2021-01-16,,Soybean thrips thogotovirus 1,Thogotovirus,Orthomyxoviridae,ssRNA(-),712,GenBank,,2,1,RNA-dependent RNA polymerase subunit PB1,USA,USA,,Neohydatothrips variabilis,,2018,,,RNA-dependent RNA polymerase subunit PB1 [Soybean thrips thogotovirus 1]
QPZ88431,Soybean thrips quaranja-like virus 1,,MW033635,,"Thekke-Veetil,T., Lagos-Kutz,D., McCoppin,N.K., Hartman,G.L., Ju,H.K., Lim,H.S., Domier,L.L., Thekke Veetil,T., Mccoppin,N.K., Lim,H.-S.",2020-12-22,,Soybean thrips quaranja-like virus 1,Quaranjavirus,Orthomyxoviridae,ssRNA(-),778,GenBank,,,1,putative polymerase PB1,USA,USA,,Neohydatothrips variabilis,,2018,,,"putative polymerase PB1, partial [Soybean thrips quaranja-like virus 1]"
QPZ88434,Soybean thrips quaranja-like virus 2,,MW033638,,"Thekke-Veetil,T., Lagos-Kutz,D., McCoppin,N.K., Hartman,G.L., Ju,H.K., Lim,H.S., Domier,L.L., Thekke Veetil,T., Mccoppin,N.K., Lim,H.-S.",2020-12-22,,Soybean thrips quaranja-like virus 2,Quaranjavirus,Orthomyxoviridae,ssRNA(-),782,GenBank,,,1,putative polymerase PB1,USA,USA,,Neohydatothrips variabilis,,2018,,,putative polymerase PB1 [Soybean thrips quaranja-like virus 2]
QPZ88437,Soybean thrips quaranja-like virus 3,,MW033641,,"Thekke-Veetil,T., Lagos-Kutz,D., McCoppin,N.K., Hartman,G.L., Ju,H.K., Lim,H.S., Domier,L.L., Thekke Veetil,T., Mccoppin,N.K., Lim,H.-S.",2020-12-22,,Soybean thrips quaranja-like virus 3,Quaranjavirus,Orthomyxoviridae,ssRNA(-),805,GenBank,,,1,putative polymerase PB1,USA,USA,,Neohydatothrips variabilis,,2018,,,putative polymerase PB1 [Soybean thrips quaranja-like virus 3]
QPN36939,Solling orthomyxo-like virus,,MT757484,,"Guo,L., Lu,X., Guo,D.",2020-12-13,,Solling orthomyxo-like virus,,Orthomyxoviridae,ssRNA(-),635,GenBank,,,,RNA-dependent RNA polymerase,Germany,Germany,,Hermannia sp. (in: mites & ticks),,2014,,,"RNA-dependent RNA polymerase, partial [Solling orthomyxo-like virus]"
QPN36942,Goettingen orthomyxo-like virus,,MT757487,,"Guo,L., Lu,X., Guo,D.",2020-12-13,,Goettingen orthomyxo-like virus,,Orthomyxoviridae,ssRNA(-),772,GenBank,,,,RNA-dependent RNA polymerase,Germany,Germany,,Hermannia gibba,,2014,,,"RNA-dependent RNA polymerase, partial [Goettingen orthomyxo-like virus]"
QPN36968,Ganwon-do orthomyxo-like virus,,MT757510,,"Guo,L., Lu,X., Guo,D.",2020-12-13,,Ganwon-do orthomyxo-like virus,,Orthomyxoviridae,ssRNA(-),841,GenBank,,,,hypothetical protein,Korea,Korea,,Leptotrombidium pallidum,,2014,,,hypothetical protein [Ganwon-do orthomyxo-like virus]
QPL15288,Neuropteran orthomyxo-related virus OKIAV190,,MW288163,SRR1811860,"Kafer,S., Paraskevopoulou,S., Zirkel,F., Wieseke,N., Donath,A., Petersen,M., Jones,T.C., Liu,S., Zhou,X., Middendorf,M., Junglen,S., Misof,B., Drosten,C.",2020-12-09,OKIAV190,Neuropteran orthomyxo-related virus OKIAV190,,Orthomyxoviridae,ssRNA(-),796,GenBank,,2,1,polymerase PB1,"Japan: Nagano Prefecture, Ueda-Sugadaira Kogen-Sugadaira Montane Research Center",Japan,,Eumantispa harmandi,,2012-08-08,SAMN03339504,PRJNA273092,"polymerase PB1, partial [Neuropteran orthomyxo-related virus OKIAV190]"
QPL15289,Hemipteran orthomyxo-related virus OKIAV211,,MW288164,SRR2051508,"Kafer,S., Paraskevopoulou,S., Zirkel,F., Wieseke,N., Donath,A., Petersen,M., Jones,T.C., Liu,S., Zhou,X., Middendorf,M., Junglen,S., Misof,B., Drosten,C.",2020-12-09,OKIAV211,Hemipteran orthomyxo-related virus OKIAV211,,Orthomyxoviridae,ssRNA(-),517,GenBank,,2,1,polymerase PB1,"Germany: Lower Saxony, Luechow-Dannenberg-Hoehbeck-Pevestorf",Germany,,Plea minutissima,,2011-08-01,SAMN03331989,PRJNA272202,"polymerase PB1, partial [Hemipteran orthomyxo-related virus OKIAV211]"
QPL15290,Orthopteran orthomyxo-related virus OKIAV207,,MW288165,SRR2230512,"Kafer,S., Paraskevopoulou,S., Zirkel,F., Wieseke,N., Donath,A., Petersen,M., Jones,T.C., Liu,S., Zhou,X., Middendorf,M., Junglen,S., Misof,B., Drosten,C.",2020-12-09,OKIAV207,Orthopteran orthomyxo-related virus OKIAV207,,Orthomyxoviridae,ssRNA(-),248,GenBank,,2,1,polymerase PB1,Germany: Lab culture with samples originating from Malaysia,Germany,,Atractomorpha sp. (in: grasshoppers),,2013-01-01,SAMN04005127,PRJNA286343,"polymerase PB1, partial [Orthopteran orthomyxo-related virus OKIAV207]"
QPL15340,Raphidiopteran orthomyxo-related virus OKIAV180,,MW288202,SRR1811903,"Kafer,S., Paraskevopoulou,S., Zirkel,F., Wieseke,N., Donath,A., Petersen,M., Jones,T.C., Liu,S., Zhou,X., Middendorf,M., Junglen,S., Misof,B., Drosten,C.",2020-12-09,OKIAV180,Raphidiopteran orthomyxo-related virus OKIAV180,,Orthomyxoviridae,ssRNA(-),796,GenBank,,2,1,polymerase PB1,"Austria: Lower Austria, Moedling Guntramsdorf Eichkogel",Austria,,Puncha ratzeburgi,,2012-05-20,SAMN03339547,PRJNA273134,polymerase PB1 [Raphidiopteran orthomyxo-related virus OKIAV180]
QPL15346,Neuropteran orthomyxo-related virus OKIAV210,,MW288204,SRR1811894,"Kafer,S., Paraskevopoulou,S., Zirkel,F., Wieseke,N., Donath,A., Petersen,M., Jones,T.C., Liu,S., Zhou,X., Middendorf,M., Junglen,S., Misof,B., Drosten,C.",2020-12-09,OKIAV210,Neuropteran orthomyxo-related virus OKIAV210,,Orthomyxoviridae,ssRNA(-),714,GenBank,,2,1,polymerase PB1,"Austria: Lower Austria, Krems-Land Duernstein",Austria,,Peyerimhoffina gracilis,,2012-06-19,SAMN03339538,PRJNA273126,"polymerase PB1, partial [Neuropteran orthomyxo-related virus OKIAV210]"
QPL15347,Hemipteran orthomyxo-related virus OKIAV187,,MW288205,SRR2051488,"Kafer,S., Paraskevopoulou,S., Zirkel,F., Wieseke,N., Donath,A., Petersen,M., Jones,T.C., Liu,S., Zhou,X., Middendorf,M., Junglen,S., Misof,B., Drosten,C.",2020-12-09,OKIAV187,Hemipteran orthomyxo-related virus OKIAV187,,Orthomyxoviridae,ssRNA(-),637,GenBank,,2,1,polymerase PB1,"Australia: South Australia, Adelaide River Torrens",Australia,,Glycaspis brimblecombei,,2012-02-20,SAMN03331969,PRJNA272182,"polymerase PB1, partial [Hemipteran orthomyxo-related virus OKIAV187]"
QPL15368,Hymenopteran orthomyxo-related virus OKIAV175,,MW288219,SRR1503021,"Kafer,S., Paraskevopoulou,S., Zirkel,F., Wieseke,N., Donath,A., Petersen,M., Jones,T.C., Liu,S., Zhou,X., Middendorf,M., Junglen,S., Misof,B., Drosten,C.",2020-12-09,OKIAV175,Hymenopteran orthomyxo-related virus OKIAV175,,Orthomyxoviridae,ssRNA(-),794,GenBank,,2,1,polymerase PB1,"Germany: Rhineland-Palatinate, Albersweiler",Germany,,Spilomena beata,,2012,SAMN02870404,PRJNA252217,"polymerase PB1, partial [Hymenopteran orthomyxo-related virus OKIAV175]"
