Accession,Organism_Name,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
CAI5383994,Tomato fern seco-like virus,,OX380481,,"Mifsud CO,J., Holmes C,E., Gallagher V,R., Geoghegan L,J.",2022-11-27,,Tomato fern seco-like virus,,Secoviridae,ssRNA(+),2098,GenBank,,,,polyprotein 1,,,,Lonchitis hirsuta,,,,PRJEB52092,polyprotein 1 [Tomato fern seco-like virus]
CAI5384008,Tomato fern seco-like virus,,OX380490,,"Mifsud CO,J., Holmes C,E., Gallagher V,R., Geoghegan L,J.",2022-11-27,,Tomato fern seco-like virus,,Secoviridae,ssRNA(+),1830,GenBank,,,,polyprotein 2,,,,Lonchitis hirsuta,,,,PRJEB52092,polyprotein 2 [Tomato fern seco-like virus]
UZP65119,Alpine wild prunus virus,,OP328249,,"Khalili,M., Candresse,T., Brans,Y., Faure,C., Audergon,J.M., Decroocq,V., Roch,G., Marais,A., Audergon,J.-M.",2022-11-23,Pm,Alpine wild prunus virus,Cheravirus,Secoviridae,ssRNA(+),2404,GenBank,,RNA 1,1,polyprotein P1,France: Savoie,France,,Prunus mahaleb,,2021,,,polyprotein P1 [Alpine wild prunus virus]
UZP65120,Alpine wild prunus virus,,OP328250,,"Khalili,M., Candresse,T., Brans,Y., Faure,C., Audergon,J.M., Decroocq,V., Roch,G., Marais,A., Audergon,J.-M.",2022-11-23,Pm,Alpine wild prunus virus,Cheravirus,Secoviridae,ssRNA(+),1086,GenBank,,RNA 2,1,polyprotein P2,France: Savoie,France,,Prunus mahaleb,,2021,,,polyprotein P2 [Alpine wild prunus virus]
UYO72923,pineapple secovirus B,,OM777135,,"Larrea-Sarmiento,A., Geering,A.D.W., Olmedo-Velarde,A., Wang,X., Borth,W., Matsumoto,T.K., Suzuki,J.Y., Wall,M.M., Melzer,M., Moyle,R., Sharman,M., Hu,J., Thomas,J.E., Larrea-Sarmiento,A.E., Thomas,J.",2022-10-29,,Sadwavirus betananas,Sadwavirus,Secoviridae,ssRNA(+),1874,GenBank,,RNA1,1,polyprotein,USA: HI,USA,HI,Ananas comosus,,2019-08,,,polyprotein [pineapple secovirus B]
UYO72924,pineapple secovirus B,,OM777136,,"Larrea-Sarmiento,A., Geering,A.D.W., Olmedo-Velarde,A., Wang,X., Borth,W., Matsumoto,T.K., Suzuki,J.Y., Wall,M.M., Melzer,M., Moyle,R., Sharman,M., Hu,J., Thomas,J.E., Larrea-Sarmiento,A.E., Thomas,J.",2022-10-29,,Sadwavirus betananas,Sadwavirus,Secoviridae,ssRNA(+),1142,GenBank,,RNA2,1,polyprotein,USA: HI,USA,HI,Ananas comosus,,2019-08,,,polyprotein [pineapple secovirus B]
DAZ91066,Gynostemma pentaphyllum secovirus,,BK061325,,"Sidharthan,V.K., Rajeswari,V., Baranwal,V.K.",2022-10-28,China,Gynostemma pentaphyllum secovirus,,Secoviridae,ssRNA(+),1000,GenBank,,RNA2,1,polyprotein,,China,,Gynostemma pentaphyllum,,,,,TPA_asm: polyprotein [Gynostemma pentaphyllum secovirus]
DAZ91067,Orobanche cernua secovirus,,BK061326,,"Sidharthan,V.K., Rajeswari,V., Baranwal,V.K.",2022-10-28,China,Orobanche cernua secovirus,,Secoviridae,ssRNA(+),2278,GenBank,,RNA1,1,polyprotein,,China,,Orobanche cernua var. cumana,,,,,TPA_asm: polyprotein [Orobanche cernua secovirus]
DAZ91068,Orobanche cernua secovirus,,BK061327,,"Sidharthan,V.K., Rajeswari,V., Baranwal,V.K.",2022-10-28,China,Orobanche cernua secovirus,,Secoviridae,ssRNA(+),1062,GenBank,,RNA2,1,polyprotein,,China,,Orobanche cernua var. cumana,,,,,TPA_asm: polyprotein [Orobanche cernua secovirus]
DAZ91075,Yucca gloriosa secovirus,,BK061335,,"Sidharthan,V.K., Rajeswari,V., Baranwal,V.K.",2022-10-28,VFLL015B,Yucca gloriosa secovirus,,Secoviridae,ssRNA(+),1986,GenBank,,RNA1,1,polyprotein,,,,Yucca gloriosa,,,,,TPA_asm: polyprotein [Yucca gloriosa secovirus]
DAZ91076,Yucca gloriosa secovirus,,BK061336,,"Sidharthan,V.K., Rajeswari,V., Baranwal,V.K.",2022-10-28,VFLL015B,Yucca gloriosa secovirus,,Secoviridae,ssRNA(+),1644,GenBank,,RNA2,1,polyprotein,,,,Yucca gloriosa,,,,,TPA_asm: polyprotein [Yucca gloriosa secovirus]
DAZ91077,Ananas comosus secovirus,,BK061318,SRR5127122,"Sidharthan,V.K., Rajeswari,V., Baranwal,V.K.",2022-10-28,Yellow Mauritius,Ananas comosus secovirus,,Secoviridae,ssRNA(+),1889,GenBank,,RNA1,1,polyprotein,,,,Ananas comosus,,,,,TPA_asm: polyprotein [Ananas comosus secovirus]
DAZ91078,Ananas comosus secovirus,,BK061319,SRR5127122,"Sidharthan,V.K., Rajeswari,V., Baranwal,V.K.",2022-10-28,Yellow Mauritius,Ananas comosus secovirus,,Secoviridae,ssRNA(+),1140,GenBank,,RNA2,1,polyprotein,,,,Ananas comosus,,,,,TPA_asm: polyprotein [Ananas comosus secovirus]
DAZ91079,Gynostemma pentaphyllum secovirus,,BK061324,SRR9265253,"Sidharthan,V.K., Rajeswari,V., Baranwal,V.K.",2022-10-28,China,Gynostemma pentaphyllum secovirus,,Secoviridae,ssRNA(+),1824,GenBank,,RNA1,1,polyprotein,,China,,Gynostemma pentaphyllum,,,,,TPA_asm: polyprotein [Gynostemma pentaphyllum secovirus]
DAZ91080,Rhododendron delavayi secovirus,,BK061334,SRR5121284,"Sidharthan,V.K., Rajeswari,V., Baranwal,V.K.",2022-10-28,Kun Ming,Rhododendron delavayi secovirus,,Secoviridae,ssRNA(+),3746,GenBank,,,1,polyprotein,,,,Rhododendron delavayi,,,,,TPA_asm: polyprotein [Rhododendron delavayi secovirus]
UTI93309,Fleabane torradovirus,,OL979629,,"Alvarez-Quinto,R., Grinstead,S., Bolus,S., Daughtrey,M., Hammond,J., Wintermantel,W., Mollov,D.",2022-07-17,2007-12EA,Fleabane torradovirus,Torradovirus,Secoviridae,ssRNA(+),2230,GenBank,,RNA1,1,polyprotein,USA,USA,,Erigeron annuus,,2020-04,,,polyprotein [Fleabane torradovirus]
UTI93310,Fleabane torradovirus,,OL979630,,"Alvarez-Quinto,R., Grinstead,S., Bolus,S., Daughtrey,M., Hammond,J., Wintermantel,W., Mollov,D.",2022-07-17,2007-12EA,Fleabane torradovirus,Torradovirus,Secoviridae,ssRNA(+),208,GenBank,,RNA2,1,ORF1,USA,USA,,Erigeron annuus,,2020-04,,,ORF1 [Fleabane torradovirus]
UTI93311,Fleabane torradovirus,,OL979630,,"Alvarez-Quinto,R., Grinstead,S., Bolus,S., Daughtrey,M., Hammond,J., Wintermantel,W., Mollov,D.",2022-07-17,2007-12EA,Fleabane torradovirus,Torradovirus,Secoviridae,ssRNA(+),1248,GenBank,,RNA2,1,polyprotein,USA,USA,,Erigeron annuus,,2020-04,,,polyprotein [Fleabane torradovirus]
UAT11553,Sweetbriar rose curly top-associated virus,,MT757670,,"Tang,J., Delmiglio,C., Ward,L., Thompson,J., Liefting,L., Veerakone,S.",2022-01-24,Simons Hill,Sweetbriar rose curly top-associated virus,Waikavirus,Secoviridae,ssRNA(+),3775,GenBank,,,1,polyprotein,New Zealand,New Zealand,,Rosa rubiginosa,,2016-12,,,polyprotein [Sweetbriar rose curly top-associated virus]
UFX17410,Camellia virus A,,MW545173,,"Liao,R., Chen,Q., Zhang,S., Cao,M., Zhou,C.",2021-12-11,,Camellia virus A,Waikavirus,Secoviridae,ssRNA(+),3546,GenBank,,,1,large polyprotein,China,China,,Camellia,,2018-09-17,,,large polyprotein [Camellia virus A]
UFX17411,Camellia virus A,,MW545173,,"Liao,R., Chen,Q., Zhang,S., Cao,M., Zhou,C.",2021-12-11,,Camellia virus A,Waikavirus,Secoviridae,ssRNA(+),101,GenBank,,,1,BVCV-like protein,China,China,,Camellia,,2018-09-17,,,BVCV-like protein [Camellia virus A]
UFX17412,Camellia virus A,,MW545173,,"Liao,R., Chen,Q., Zhang,S., Cao,M., Zhou,C.",2021-12-11,,Camellia virus A,Waikavirus,Secoviridae,ssRNA(+),68,GenBank,,,1,hypothetical protein,China,China,,Camellia,,2018-09-17,,,hypothetical protein [Camellia virus A]
UBS89877,Codonopsis torradovirus A,,MZ325520,,"Belete,M., Gudeta,W., Kim,S.E., Igori,D., Moon,J.S.",2021-10-05,SK,Codonopsis torradovirus A,Torradovirus,Secoviridae,ssRNA(+),2198,GenBank,,RNA1,,polyprotein,South Korea,South Korea,,,,2019-07-19,,,polyprotein [Codonopsis torradovirus A]
UBS89878,Codonopsis torradovirus A,,MZ325521,,"Belete,M., Gudeta,W., Kim,S.E., Igori,D., Moon,J.S.",2021-10-05,SK,Codonopsis torradovirus A,Torradovirus,Secoviridae,ssRNA(+),202,GenBank,,RNA2,,hypothetical protein,South Korea,South Korea,,,,2019-07-19,,,hypothetical protein [Codonopsis torradovirus A]
UBS89879,Codonopsis torradovirus A,,MZ325521,,"Belete,M., Gudeta,W., Kim,S.E., Igori,D., Moon,J.S.",2021-10-05,SK,Codonopsis torradovirus A,Torradovirus,Secoviridae,ssRNA(+),1246,GenBank,,RNA2,,polyprotein,South Korea,South Korea,,,,2019-07-19,,,polyprotein [Codonopsis torradovirus A]
UAW09555,Cassava Torrado-like virus,,OK040225,,"Leiva,A.M., Jimenez,J., Cuellar,W.J.",2021-09-22,Yop_12,Cassava Torrado-like virus,Torradovirus,Secoviridae,ssRNA(+),2336,GenBank,,RNA1,,polyprotein,"Colombia: Casanare, Yopal",Colombia,,Manihot esculenta,,2020-08-20,,,polyprotein [Cassava Torrado-like virus]
UAW09556,Cassava Torrado-like virus,,OK040226,,"Leiva,A.M., Jimenez,J., Cuellar,W.J.",2021-09-22,Yop_12,Cassava Torrado-like virus,Torradovirus,Secoviridae,ssRNA(+),226,GenBank,,RNA2,,hypothetical protein,"Colombia: Casanare, Yopal",Colombia,,Manihot esculenta,,2020-08-20,,,hypothetical protein [Cassava Torrado-like virus]
UAW09557,Cassava Torrado-like virus,,OK040226,,"Leiva,A.M., Jimenez,J., Cuellar,W.J.",2021-09-22,Yop_12,Cassava Torrado-like virus,Torradovirus,Secoviridae,ssRNA(+),1179,GenBank,,RNA2,,polyprotein,"Colombia: Casanare, Yopal",Colombia,,Manihot esculenta,,2020-08-20,,,polyprotein [Cassava Torrado-like virus]
UAT87937,Stenotaphrum nepovirus,,MZ325761,,"Tran,N.T., Teo,A.C., Crew,K.S., Campbell,P.R., Thomas,J.E., Geering,A.D.W.",2021-09-20,5664,Stenotaphrum nepovirus,Nepovirus,Secoviridae,ssRNA(+),2086,GenBank,,RNA1,1,polyprotein,Australia,Australia,,Stenotaphrum secundatum,,2019-04-04,,,polyprotein [Stenotaphrum nepovirus]
UAT87938,Stenotaphrum nepovirus,,MZ325762,,"Tran,N.T., Teo,A.C., Crew,K.S., Campbell,P.R., Thomas,J.E., Geering,A.D.W.",2021-09-20,5664,Stenotaphrum nepovirus,Nepovirus,Secoviridae,ssRNA(+),1602,GenBank,,RNA2,1,polyprotein,Australia,Australia,,Stenotaphrum secundatum,,2019-04-04,,,polyprotein [Stenotaphrum nepovirus]
QZQ78639,Potato black ringspot virus,,MT922050,,"Jones,R.A.C., Boonham,N., Adams,I.P., Fox,A.",2021-09-06,TRSV-CA,Nepovirus solani,Nepovirus,Secoviridae,ssRNA(+),2324,GenBank,,RNA1,,polyprotein,Peru,Peru,,Solanum tuberosum,,1976,,,polyprotein [Potato black ringspot virus]
QZQ78640,Potato black ringspot virus,,MT922051,,"Jones,R.A.C., Boonham,N., Adams,I.P., Fox,A.",2021-09-06,TRSV-CA,Nepovirus solani,Nepovirus,Secoviridae,ssRNA(+),1082,GenBank,,RNA2,,polyprotein,Peru,Peru,,Solanum tuberosum,,1976,,,polyprotein [Potato black ringspot virus]
QYY47938,Blueberry leaf mottle virus,,MT591564,,"Massawe,D.P., Miller,S.A., Paul,P.A., Ivey,M.L.L.",2021-08-21,BLMoV-OH19,Nepovirus myrtilli,Nepovirus,Secoviridae,ssRNA(+),2113,GenBank,,RNA1,,polyprotein,USA,USA,,Vaccinium,plant leaf,2019-08,,,polyprotein [Blueberry leaf mottle virus]
QYY47939,Blueberry leaf mottle virus,,MT591565,,"Massawe,D.P., Miller,S.A., Paul,P.A., Ivey,M.L.L.",2021-08-21,BLMoV-OH19,Nepovirus myrtilli,Nepovirus,Secoviridae,ssRNA(+),1739,GenBank,,RNA2,,polyprotein,USA,USA,,Vaccinium,plant leaf,2019-08,,,polyprotein [Blueberry leaf mottle virus]
DAF42463,Trillium govanianum cheravirus,,BK013325,SRR4333243,"Sidharthan,V.K., Kalaivanan,N.S., Baranwal,V.K.",2021-06-12,India,Trillium govanianum cheravirus,Cheravirus,Secoviridae,ssRNA(+),2270,GenBank,,1,1,replicase,India,India,,Trillium govanianum,fruit,,,,TPA_exp: replicase [Trillium govanianum cheravirus]
DAF42464,Trillium govanianum cheravirus,,BK013326,SRR4333246,"Sidharthan,V.K., Kalaivanan,N.S., Baranwal,V.K.",2021-06-12,India,Trillium govanianum cheravirus,Cheravirus,Secoviridae,ssRNA(+),1058,GenBank,,2,1,polyprotein,India,India,,Trillium govanianum,,,,,TPA_exp: polyprotein [Trillium govanianum cheravirus]
QVX32640,Arracacha virus B,,MW582785,,"Knierim,D., Margaria,P., Menzel,W., Winter,S.",2021-06-01,DSMZ PV-0082,Cheravirus arracaciae,Cheravirus,Secoviridae,ssRNA(+),2314,GenBank,,RNA 1,,polyprotein 1,Peru,Peru,,Oxalis tuberosa,,,,,polyprotein 1 [Arracacha virus B]
QVX32641,Arracacha virus B,,MW582786,,"Knierim,D., Margaria,P., Menzel,W., Winter,S.",2021-06-01,DSMZ PV-0082,Cheravirus arracaciae,Cheravirus,Secoviridae,ssRNA(+),928,GenBank,,RNA 2,,polyprotein 2,Peru,Peru,,Oxalis tuberosa,,,,,polyprotein 2 [Arracacha virus B]
QTJ95916,Poaceae Liege nepovirus A,,MW289235,,"Maclot,F.J., Debue,V., Blouin,A.G., Fontdevila-Pareta,N., Tamisier,L., Filloux,D., Massart,S.",2021-04-07,Antheit,Nepovirus poaceae,Nepovirus,Secoviridae,ssRNA(+),2281,GenBank,,RNA1,1,polyprotein,Belgium,Belgium,,Poa trivialis,,2018,,,polyprotein [Poaceae Liege nepovirus A]
QTJ95917,Poaceae Liege nepovirus A,,MW289236,,"Maclot,F.J., Debue,V., Blouin,A.G., Fontdevila-Pareta,N., Tamisier,L., Filloux,D., Massart,S.",2021-04-07,Antheit,Nepovirus poaceae,Nepovirus,Secoviridae,ssRNA(+),1259,GenBank,,RNA2,1,polyprotein,Belgium,Belgium,,Poa trivialis,,2018,,,polyprotein [Poaceae Liege nepovirus A]
QTJ95918,Poaceae Liege virus 1,,MW289237,,"Maclot,F.J., Debue,V., Blouin,A.G., Fontdevila-Pareta,N., Tamisier,L., Filloux,D., Massart,S.",2021-04-07,Antheit,Waikavirus liegense,Waikavirus,Secoviridae,ssRNA(+),3474,GenBank,,,1,polyprotein,Belgium,Belgium,,Poa trivialis,,2018,,,polyprotein [Poaceae Liege virus 1]
QSM07372,Lettuce star mosaic virus,,MT348706,,"Svanella-Dumas,L., Tsarmpopoulos,I., Marais,A., Faure,C., Theil,S., Gaudin,J., Leite de Oliveira,M., Krause-Sakate,R., Candresse,T.",2021-03-10,JG1-B,Sequivirus stellatum,Sequivirus,Secoviridae,ssRNA(+),3017,GenBank,,,,polyprotein,France,France,,Lactuca sativa,,2014,,,polyprotein [Lettuce star mosaic virus]
QSM07376,Lettuce waikavirus 1,,MT348710,,"Svanella-Dumas,L., Tsarmpopoulos,I., Marais,A., Faure,C., Theil,S., Gaudin,J., Leite de Oliveira,M., Krause-Sakate,R., Candresse,T.",2021-03-10,JG1,Lettuce waikavirus 1,Waikavirus,Secoviridae,ssRNA(+),3462,GenBank,,,,polyprotein,France,France,,Lactuca sativa,,2014,,,polyprotein [Lettuce waikavirus 1]
QJD14915,Actinidia yellowing virus 1,,MN180070,,"Zhao,L., Cao,M., Huang,Q., Wang,Y., Sun,J., Zhang,Y., Hou,C., Wu,Y.",2021-03-03,AYV1-Zhouzhi,Waikavirus actinidiae,Waikavirus,Secoviridae,ssRNA(+),3688,GenBank,,,1,replicase,China,China,,Actinidia,,2018-04,,,replicase [Actinidia yellowing virus 1]
QRV07363,Acheta domesticus Iflavirus,,MW281483,,"de Miranda,J.R., Granberg,F., Onorati,P., Jansson,A., Berggren,A.",2021-02-22,SE:1050,Iflavirus achedomestici,Iflavirus,Iflaviridae,ssRNA(+),2817,GenBank,,,,polyprotein,Sweden,Sweden,,Acheta domesticus,,2017-05-03,,,polyprotein [Acheta domesticus Iflavirus]
QPD02150,Grapevine nepovirus A,,MT507290,,"Al Rwahnih,M., Alabi,O.J., Hwang,M.S., Tian,T., Mollov,D., Golino,D.A., Alabi,O., Hwang,M.",2020-11-22,125,Nepovirus alphavitis,Nepovirus,Secoviridae,ssRNA(+),2243,GenBank,,RNA1,1,polyprotein 1,France,France,,Vitis vinifera,,2017-12-11,,,polyprotein 1 [Grapevine nepovirus A]
QPD02151,Grapevine nepovirus A,,MT507291,,"Al Rwahnih,M., Alabi,O.J., Hwang,M.S., Tian,T., Mollov,D., Golino,D.A., Alabi,O., Hwang,M.",2020-11-22,125,Nepovirus alphavitis,Nepovirus,Secoviridae,ssRNA(+),1330,GenBank,,RNA2,1,polyprotein 2,France,France,,Vitis vinifera,,2017-12-11,,,polyprotein 2 [Grapevine nepovirus A]
QED42865,Anemone nepovirus A,,MH898478,,"Jo,Y., Cho,W.K.",2020-08-18,Won,Anemone nepovirus A,Nepovirus,Secoviridae,ssRNA(+),1377,GenBank,,RNA2,,ORF1,China,China,,Anemone flaccida,,2016-04-05,,,ORF1 [Anemone nepovirus A]
QED42866,Anemone nepovirus A,,MH898479,,"Jo,Y., Cho,W.K.",2020-08-18,Won,Anemone nepovirus A,Nepovirus,Secoviridae,ssRNA(+),1920,GenBank,,RNA1,,ORF1,China,China,,Anemone flaccida,,2016-04-05,,,ORF1 [Anemone nepovirus A]
QMU95531,Blackcurrant waikavirus A,,MN701059,,"Thekke-Veetil,T., Ho,T., Postman,J.D., Tzanetakis,I.E., Thekke Veetil,T.",2020-08-11,Oregon,Waikavirus ribesnigri,Waikavirus,Secoviridae,ssRNA(+),3499,GenBank,,,,ORF1 polyprotein,USA,USA,,Ribes nigrum,,2013,,,ORF1 polyprotein [Blackcurrant waikavirus A]
QMU95532,Blackcurrant waikavirus A,,MN701059,,"Thekke-Veetil,T., Ho,T., Postman,J.D., Tzanetakis,I.E., Thekke Veetil,T.",2020-08-11,Oregon,Waikavirus ribesnigri,Waikavirus,Secoviridae,ssRNA(+),86,GenBank,,,,ORFX protein,USA,USA,,Ribes nigrum,,2013,,,ORFX protein [Blackcurrant waikavirus A]
QJQ82526,surrounding non-legume associated virus,set:MN412739,MN412739,,"Gaafar,Y.Z.A., Ziebell,H.",2020-05-13,SNLaSVMuenster_17,Sadwavirus aciphyllae,Sadwavirus,Secoviridae,ssRNA(+),1978,GenBank,,RNA1,,polyprotein,Germany,Germany,,Spermatophyta,,2017,,,polyprotein [surrounding non-legume associated virus]
QJQ82527,surrounding non-legume associated virus,set:MN412740,MN412740,,"Gaafar,Y.Z.A., Ziebell,H.",2020-05-13,SNLaSV/Muenster_17,Sadwavirus aciphyllae,Sadwavirus,Secoviridae,ssRNA(+),1660,GenBank,,RNA2,,polyprotein,Germany,Germany,,Spermatophyta,,2017,,,polyprotein [surrounding non-legume associated virus]
QJC19295,Phaseolus vulgaris severe mosaic virus,set:876369b2fc770a78f6a33230738f7cc201d3cdf8,MN837498,,"Chiquito-Almanza,E., Zamora-Aboytes,J.M., Medina,H.R., Acosta-Gallegos,J.A., Anaya-Lopez,J.L., Ramirez-Medina,H.",2020-04-25,CG6,Comovirus phaseoli,Comovirus,Secoviridae,ssRNA(+),1856,GenBank,,RNA1,1,polyprotein,"Mexico: Celaya, Guanajuato",Mexico,,Phaseolus vulgaris,,2015-09-21,,,polyprotein [Phaseolus vulgaris severe mosaic virus]
QJC19296,Phaseolus vulgaris severe mosaic virus,set:876369b2fc770a78f6a33230738f7cc201d3cdf8,MN837499,,"Chiquito-Almanza,E., Zamora-Aboytes,J.M., Medina,H.R., Acosta-Gallegos,J.A., Anaya-Lopez,J.L., Ramirez-Medina,H.",2020-04-25,CG6,Comovirus phaseoli,Comovirus,Secoviridae,ssRNA(+),1024,GenBank,,RNA2,1,polyprotein,"Mexico: Celaya, Guanajuato",Mexico,,Phaseolus vulgaris,,2015-09-21,,,polyprotein [Phaseolus vulgaris severe mosaic virus]
QIZ40097,Pineapple secovirus A,set:a570c4d4566aea3ac9432e61cd8056c01d7c1945,MN809923,,"Larrea-Sarmiento,A., Olmedo-Velarde,A., Green,J.C., Al Rwahnih,M., Wang,X., Li,Y.H., Wu,W., Zhang,J., Matsumoto,T.K., Suzuki,J.Y., Wall,M.M., Borth,W., Melzer,M.J., Hu,J.S., Larrea-Sarmiento,A.E., Hu,J.",2020-04-19,HANA187,Sadwavirus alphananas,Sadwavirus,Secoviridae,ssRNA(+),1865,GenBank,,RNA1,1,polyprotein,USA: Hawaii,USA,HI,Ananas comosus,,2018,,,polyprotein [Pineapple secovirus A]
QIZ40098,Pineapple secovirus A,set:a570c4d4566aea3ac9432e61cd8056c01d7c1945,MN809924,,"Larrea-Sarmiento,A., Olmedo-Velarde,A., Green,J.C., Al Rwahnih,M., Wang,X., Li,Y.H., Wu,W., Zhang,J., Matsumoto,T.K., Suzuki,J.Y., Wall,M.M., Borth,W., Melzer,M.J., Hu,J.S., Larrea-Sarmiento,A.E., Hu,J.",2020-04-19,HANA187,Sadwavirus alphananas,Sadwavirus,Secoviridae,ssRNA(+),1119,GenBank,,RNA2,1,polyprotein,USA: Hawaii,USA,HI,Ananas comosus,,2018,,,polyprotein [Pineapple secovirus A]
QHW16320,Andean potato mottle virus,set:80fbf1a114a5330f5b6f9e8ae2a4a96cfc5e3908,MN148891,,"De Souza,J., Muller,G., Cuellar,W., Kreuze,J.",2020-02-12,Huancayo,Comovirus andesense,Comovirus,Secoviridae,ssRNA(+),1940,GenBank,,RNA1,,polyprotein,Peru,Peru,,Solanum tuberosum,,1978,,,polyprotein [Andean potato mottle virus]
QHW16321,Andean potato mottle virus,set:80fbf1a114a5330f5b6f9e8ae2a4a96cfc5e3908,MN148892,,"De Souza,J., Muller,G., Cuellar,W., Kreuze,J.",2020-02-12,Huancayo,Comovirus andesense,Comovirus,Secoviridae,ssRNA(+),999,GenBank,,RNA2,,polyprotein,Peru,Peru,,Solanum tuberosum,,1978,,,polyprotein [Andean potato mottle virus]
QCI31548,pygoscepivirus A1,set:MH255796,MH255796,,"de Souza,W.M., Fumagalli,M.J., Martin,M.C., de Araujo,J., Orsi,M.A., Sanfilippo,L.F., Modha,S., Durigon,E.L., Proenca-Modena,J.L., Arns,C.W., Murcia,P.R., Figueiredo,L.T.M., Romeiro,M.F., Nunes,M.R.T.",2020-01-02,991,Pygoscepivirus A,Pygoscepivirus,Picornaviridae,ssRNA(+),2192,GenBank,,,1,polyprotein,Antarctica,Antarctica,,Pygoscelis papua,,2006,,,polyprotein [pygoscepivirus A1]
BBL52501,Persimmon waikavirus,set:LC488189,LC488189,,"Ito,T., Sato,A.",2019-11-16,,Waikavirus diospyri,Waikavirus,Secoviridae,ssRNA(+),3674,GenBank,,,,polyprotein,"Japan: Hiroshima, Higashihiroshima, Akitsu",Japan,,Diospyros kaki,,2013-11-05,,,polyprotein [Persimmon waikavirus]
