Accession,Organism_Name,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
UNH55556,Ligustrum chlorotic spot virus,,OK626448,,"Ramos-Gonzalez,P.L., Chabi-Jesus,C., Tassi,A.D., Calegario,R.F., Harakava,R., Nome,C.F., Kitajima,E.W., Freitas-Astua,J., Faier-Calegario,R.",2022-03-21,SPa1,Cilevirus ligustri,Cilevirus,Kitaviridae,ssRNA(+),207,GenBank,,RNA2,,P23 protein,Brazil,Brazil,,Ligustrum japonicum,,2019,,,P23 protein [Ligustrum chlorotic spot virus]
UNH55562,Ligustrum leprosis virus,,OK626451,,"Ramos-Gonzalez,P.L., Chabi-Jesus,C., Tassi,A.D., Calegario,R.F., Harakava,R., Nome,C.F., Kitajima,E.W., Freitas-Astua,J., Faier-Calegario,R.",2022-03-21,Cdb1,Cilevirus australis,Cilevirus,Kitaviridae,ssRNA(+),2525,GenBank,,RNA1,,RNA-dependent RNA polymerase,Argentina,Argentina,,Ligustrum sinense,,2018,,,RNA-dependent RNA polymerase [Ligustrum leprosis virus]
UNH55563,Ligustrum leprosis virus,,OK626451,,"Ramos-Gonzalez,P.L., Chabi-Jesus,C., Tassi,A.D., Calegario,R.F., Harakava,R., Nome,C.F., Kitajima,E.W., Freitas-Astua,J., Faier-Calegario,R.",2022-03-21,Cdb1,Cilevirus australis,Cilevirus,Kitaviridae,ssRNA(+),294,GenBank,,RNA1,,putative coat protein,Argentina,Argentina,,Ligustrum sinense,,2018,,,putative coat protein [Ligustrum leprosis virus]
UNH55564,Ligustrum leprosis virus,,OK626452,,"Ramos-Gonzalez,P.L., Chabi-Jesus,C., Tassi,A.D., Calegario,R.F., Harakava,R., Nome,C.F., Kitajima,E.W., Freitas-Astua,J., Faier-Calegario,R.",2022-03-21,Cdb1,Cilevirus australis,Cilevirus,Kitaviridae,ssRNA(+),534,GenBank,,RNA2,,P62 protein,Argentina,Argentina,,Ligustrum sinense,,2018,,,P62 protein [Ligustrum leprosis virus]
UNH55565,Ligustrum leprosis virus,,OK626452,,"Ramos-Gonzalez,P.L., Chabi-Jesus,C., Tassi,A.D., Calegario,R.F., Harakava,R., Nome,C.F., Kitajima,E.W., Freitas-Astua,J., Faier-Calegario,R.",2022-03-21,Cdb1,Cilevirus australis,Cilevirus,Kitaviridae,ssRNA(+),307,GenBank,,RNA2,,movememt protein,Argentina,Argentina,,Ligustrum sinense,,2018,,,movememt protein [Ligustrum leprosis virus]
UNH55566,Ligustrum leprosis virus,,OK626452,,"Ramos-Gonzalez,P.L., Chabi-Jesus,C., Tassi,A.D., Calegario,R.F., Harakava,R., Nome,C.F., Kitajima,E.W., Freitas-Astua,J., Faier-Calegario,R.",2022-03-21,Cdb1,Cilevirus australis,Cilevirus,Kitaviridae,ssRNA(+),209,GenBank,,RNA2,,P24 protein,Argentina,Argentina,,Ligustrum sinense,,2018,,,P24 protein [Ligustrum leprosis virus]
ULT85592,Hydrangea vein-banding virus,,OK666835,,"Parrella,G., Troiano,E.",2022-03-02,Fitolab,Hydrangea vein-banding virus,Ilarvirus,Bromoviridae,ssRNA(+),1074,GenBank,,RNA1,,P1,Italy: Campania region,Italy,,Hydrangea macrophylla,plant leaf,2012-04-18,,,P1 [Hydrangea vein-banding virus]
ULT85593,Hydrangea vein-banding virus,,OK666836,,"Parrella,G., Troiano,E.",2022-03-02,Fitolab,Hydrangea vein-banding virus,Ilarvirus,Bromoviridae,ssRNA(+),788,GenBank,,RNA2,,P2,Italy: Campania region,Italy,,Hydrangea macrophylla,plant leaf,2012-04-18,,,P2 [Hydrangea vein-banding virus]
ULT85594,Hydrangea vein-banding virus,,OK666836,,"Parrella,G., Troiano,E.",2022-03-02,Fitolab,Hydrangea vein-banding virus,Ilarvirus,Bromoviridae,ssRNA(+),189,GenBank,,RNA2,,P2b,Italy: Campania region,Italy,,Hydrangea macrophylla,plant leaf,2012-04-18,,,P2b [Hydrangea vein-banding virus]
ULT85595,Hydrangea vein-banding virus,,OK666837,,"Parrella,G., Troiano,E.",2022-03-02,Fitolab,Hydrangea vein-banding virus,Ilarvirus,Bromoviridae,ssRNA(+),281,GenBank,,RNA3,,MP,Italy: Campania region,Italy,,Hydrangea macrophylla,plant leaf,2012-04-18,,,MP [Hydrangea vein-banding virus]
ULT85596,Hydrangea vein-banding virus,,OK666837,,"Parrella,G., Troiano,E.",2022-03-02,Fitolab,Hydrangea vein-banding virus,Ilarvirus,Bromoviridae,ssRNA(+),217,GenBank,,RNA3,,CP,Italy: Campania region,Italy,,Hydrangea macrophylla,plant leaf,2012-04-18,,,CP [Hydrangea vein-banding virus]
UIO53000,Grapevine line pattern virus,,MW888422,,"Chiginsky,J., Langemeier,K., MacWilliams,J., Albrecht,T., Cranshaw,W., Fulladolsa,A.C., Kapuscinski,M., Stenglein,M., Nachappa,P.",2022-01-15,GLPV-Lar,Anulavirus GLPV,Anulavirus,Bromoviridae,ssRNA(+),298,GenBank,,RNA3,,movement protein,"USA: Larimer, CO",USA,CO,Cannabis sativa,,2019,,,movement protein [Grapevine line pattern virus]
UIO53001,Grapevine line pattern virus,,MW888423,,"Chiginsky,J., Langemeier,K., MacWilliams,J., Albrecht,T., Cranshaw,W., Fulladolsa,A.C., Kapuscinski,M., Stenglein,M., Nachappa,P.",2022-01-15,GLPV-Lar,Anulavirus GLPV,Anulavirus,Bromoviridae,ssRNA(+),679,GenBank,,RNA2,,RNA-dependent RNA polymerase,"USA: Larimer, CO",USA,CO,Cannabis sativa,,2019,,,RNA-dependent RNA polymerase [Grapevine line pattern virus]
UIO53002,Grapevine line pattern virus,,MW888424,,"Chiginsky,J., Langemeier,K., MacWilliams,J., Albrecht,T., Cranshaw,W., Fulladolsa,A.C., Kapuscinski,M., Stenglein,M., Nachappa,P.",2022-01-15,GLPV-Lar,Anulavirus GLPV,Anulavirus,Bromoviridae,ssRNA(+),949,GenBank,,RNA1,,methyltransferase,"USA: Larimer, CO",USA,CO,Cannabis sativa,,2019,,,methyltransferase [Grapevine line pattern virus]
QPB74030,Rosa ilarvirus-1,,MT017861,,"Vazquez-Iglesias,I., McGreig,S., Pufal,H., Robinson,R., Clover,G.R.G., Fox,A., Boonham,N., Adams,I.P.",2021-11-16,,Rosa ilarvirus-1,Ilarvirus,Bromoviridae,ssRNA(+),1055,GenBank,,RNA1,1,putative replicase,United Kingdom,United Kingdom,,Rosa,,2019,,,putative replicase [Rosa ilarvirus-1]
QPB74031,Rosa ilarvirus-1,,MT017862,,"Vazquez-Iglesias,I., McGreig,S., Pufal,H., Robinson,R., Clover,G.R.G., Fox,A., Boonham,N., Adams,I.P.",2021-11-16,,Rosa ilarvirus-1,Ilarvirus,Bromoviridae,ssRNA(+),848,GenBank,,RNA2,1,putative RNA dependent RNA polymerase,United Kingdom,United Kingdom,,Rosa,,2019,,,putative RNA dependent RNA polymerase [Rosa ilarvirus-1]
QPB74032,Rosa ilarvirus-1,,MT017862,,"Vazquez-Iglesias,I., McGreig,S., Pufal,H., Robinson,R., Clover,G.R.G., Fox,A., Boonham,N., Adams,I.P.",2021-11-16,,Rosa ilarvirus-1,Ilarvirus,Bromoviridae,ssRNA(+),236,GenBank,,RNA2,1,putative protein 2b,United Kingdom,United Kingdom,,Rosa,,2019,,,putative protein 2b [Rosa ilarvirus-1]
QPB74033,Rosa ilarvirus-1,,MT017863,,"Vazquez-Iglesias,I., McGreig,S., Pufal,H., Robinson,R., Clover,G.R.G., Fox,A., Boonham,N., Adams,I.P.",2021-11-16,,Rosa ilarvirus-1,Ilarvirus,Bromoviridae,ssRNA(+),289,GenBank,,RNA3,1,putative movement protein,United Kingdom,United Kingdom,,Rosa,,2019,,,putative movement protein [Rosa ilarvirus-1]
QPB74034,Rosa ilarvirus-1,,MT017863,,"Vazquez-Iglesias,I., McGreig,S., Pufal,H., Robinson,R., Clover,G.R.G., Fox,A., Boonham,N., Adams,I.P.",2021-11-16,,Rosa ilarvirus-1,Ilarvirus,Bromoviridae,ssRNA(+),220,GenBank,,RNA3,1,putative coat protein,United Kingdom,United Kingdom,,Rosa,,2019,,,putative coat protein [Rosa ilarvirus-1]
UCY33659,water chestnut virus A,,MZ170696,,"Lv,L., Wu,X., Weng,J., Lai,Y., Han,K., Lu,Y., Peng,J., Lin,L., Rao,S., Wu,G., Chen,J., Zheng,H., Jiang,W., Yan,F.",2021-10-20,Guangxi,water chestnut virus A,Ilarvirus,Bromoviridae,ssRNA(+),1114,GenBank,,RNA1,1,replicase,China,China,,Trapa natans,,2020-05-15,,,replicase [water chestnut virus A]
UCY33660,water chestnut virus A,,MZ170697,,"Lv,L., Wu,X., Weng,J., Lai,Y., Han,K., Lu,Y., Peng,J., Lin,L., Rao,S., Wu,G., Chen,J., Zheng,H., Jiang,W., Yan,F.",2021-10-20,Guangxi,water chestnut virus A,Ilarvirus,Bromoviridae,ssRNA(+),886,GenBank,,RNA2,1,RNA-dependent RNA polymerase,China,China,,Trapa natans,,2020-05-15,,,RNA-dependent RNA polymerase [water chestnut virus A]
UCY33661,water chestnut virus A,,MZ170698,,"Lv,L., Wu,X., Weng,J., Lai,Y., Han,K., Lu,Y., Peng,J., Lin,L., Rao,S., Wu,G., Chen,J., Zheng,H., Jiang,W., Yan,F.",2021-10-20,Guangxi,water chestnut virus A,Ilarvirus,Bromoviridae,ssRNA(+),303,GenBank,,RNA3,1,movement protein,China,China,,Trapa natans,,2020-05-15,,,movement protein [water chestnut virus A]
UCY33662,water chestnut virus A,,MZ170698,,"Lv,L., Wu,X., Weng,J., Lai,Y., Han,K., Lu,Y., Peng,J., Lin,L., Rao,S., Wu,G., Chen,J., Zheng,H., Jiang,W., Yan,F.",2021-10-20,Guangxi,water chestnut virus A,Ilarvirus,Bromoviridae,ssRNA(+),225,GenBank,,RNA3,1,coat protein,China,China,,Trapa natans,,2020-05-15,,,coat protein [water chestnut virus A]
QSG73629,Prunus virus I,,MW579753,,"Orfanidou,C.G., Xing,F., Zhou,J., Li,S.F., Katis,N.I., Maliogka,V.I.",2021-03-10,c18,Prunus virus I,Ilarvirus,Bromoviridae,ssRNA(+),1090,GenBank,,RNA1,,replicase,Greece,Greece,,Prunus avium,,2009,,,replicase [Prunus virus I]
QSG73630,Prunus virus I,,MW579754,,"Orfanidou,C.G., Xing,F., Zhou,J., Li,S.F., Katis,N.I., Maliogka,V.I.",2021-03-10,c18,Prunus virus I,Ilarvirus,Bromoviridae,ssRNA(+),808,GenBank,,RNA2,,polymerase,Greece,Greece,,Prunus avium,,2009,,,polymerase [Prunus virus I]
QSG73631,Prunus virus I,,MW579754,,"Orfanidou,C.G., Xing,F., Zhou,J., Li,S.F., Katis,N.I., Maliogka,V.I.",2021-03-10,c18,Prunus virus I,Ilarvirus,Bromoviridae,ssRNA(+),205,GenBank,,RNA2,,2b,Greece,Greece,,Prunus avium,,2009,,,2b [Prunus virus I]
QSG73632,Prunus virus I,,MW579755,,"Orfanidou,C.G., Xing,F., Zhou,J., Li,S.F., Katis,N.I., Maliogka,V.I.",2021-03-10,c18,Prunus virus I,Ilarvirus,Bromoviridae,ssRNA(+),300,GenBank,,RNA3,,movement protein,Greece,Greece,,Prunus avium,,2009,,,movement protein [Prunus virus I]
QSG73633,Prunus virus I,,MW579755,,"Orfanidou,C.G., Xing,F., Zhou,J., Li,S.F., Katis,N.I., Maliogka,V.I.",2021-03-10,c18,Prunus virus I,Ilarvirus,Bromoviridae,ssRNA(+),222,GenBank,,RNA3,,coat protein,Greece,Greece,,Prunus avium,,2009,,,coat protein [Prunus virus I]
QJQ13982,Actinidia yellowing ringspot virus,,MN612758,,"Zhao,L., Cao,M., Huang,Q., Wang,Y., Sun,J., Zhang,Y., Hou,C., Wu,Y.",2021-03-03,AYRSpV-Meixian,Actinidia yellowing ringspot virus,,Bromoviridae,ssRNA(+),1053,GenBank,,RNA1,1,ORF1a,China,China,,Actinidia,,2018-04,,,ORF1a [Actinidia yellowing ringspot virus]
